Majority protein IDs,Lead protein ID,Protein names,Gene names,Class,nRatio H/L AP4B1_1_03K,nRatio H/L AP4B1_1_06K,nRatio H/L AP4B1_1_12K,nRatio H/L AP4B1_1_24K,nRatio H/L AP4B1_1_80K,nRatio H/L AP4B1_2_03K,nRatio H/L AP4B1_2_06K,nRatio H/L AP4B1_2_12K,nRatio H/L AP4B1_2_24K,nRatio H/L AP4B1_2_80K,nRatio H/L AP4E1_1_03K,nRatio H/L AP4E1_1_06K,nRatio H/L AP4E1_1_12K,nRatio H/L AP4E1_1_24K,nRatio H/L AP4E1_1_80K,nRatio H/L AP4E1_2_03K,nRatio H/L AP4E1_2_06K,nRatio H/L AP4E1_2_12K,nRatio H/L AP4E1_2_24K,nRatio H/L AP4E1_2_80K,nRatio H/L WT_1_03K,nRatio H/L WT_1_06K,nRatio H/L WT_1_12K,nRatio H/L WT_1_24K,nRatio H/L WT_1_80K,nRatio H/L WT_2_03K,nRatio H/L WT_2_06K,nRatio H/L WT_2_12K,nRatio H/L WT_2_24K,nRatio H/L WT_2_80K
Q03519;Q03519-2,Q03519,Antigen peptide transporter 2,TAP2,ER,1.571134405,0.765396219,0.864064064,2.164621297,7.023130253,1.231926937,0.732803908,0.674146959,1.610762509,6.412848778,1.301523203,0.72175906,1.045744864,3.104154899,12.09605268,1.377291517,0.74437808,0.877775283,2.47466698,7.911830596,1.155059109,0.702685357,0.898694961,2.703590177,9.985617999,1.125238502,0.692505905,0.843897501,2.457691308,7.677813811
O15533;O15533-3;O15533-2;O15533-4,O15533,Tapasin,TAPBP,ER,1.580605121,0.71804026,0.770357024,2.008305442,7.205963556,1.262183617,0.666230027,0.649082226,1.617771061,6.238039568,1.280868219,0.710843719,0.900286553,3.183101922,11.13382046,1.284202104,0.72480215,0.805621228,2.702149557,7.603935652,1.08192761,0.665869277,0.852985323,2.754183842,9.679208259,1.111437568,0.664276,0.818569904,2.054670631,7.030605247
Q9NZ01,Q9NZ01,Very-long-chain enoyl-CoA reductase,TECR,ER,1.69841509,0.767151782,0.857137137,2.578529813,9.417632984,1.426418212,0.78947153,0.732516255,1.998751602,7.81804589,1.262546129,0.703967913,1.009494217,3.67031408,12.1023495,1.395706203,0.764491563,0.904309696,3.026435734,9.404248613,1.162139052,0.690053532,0.925135865,3.50082796,11.05585823,1.202167882,0.68705175,0.961832565,3.282837989,9.617230998
P55061;P55061-2,P55061,Bax inhibitor 1,TMBIM6,ER,1.566112056,0.885438411,1.050663997,2.269369034,4.681759617,1.41949602,0.764296533,0.725058979,1.650623652,4.495767751,1.271031862,0.710600201,1.011938547,2.887149106,5.694683126,1.389229314,0.858981634,0.912815501,2.358573235,3.941730741,1.140851387,0.772700089,1.047328922,2.440052144,5.071727181,1.136569549,0.795504975,0.968852116,2.255785297,4.310422987
P57088,P57088,Transmembrane protein 33,TMEM33,ER,1.621788387,0.832550214,0.817937938,1.949547539,5.000061353,1.389462637,0.829642365,0.722987514,1.610433983,4.487338374,1.287594049,0.773456525,0.93291904,2.497274292,6.296684989,1.437996482,0.809451993,0.833899066,2.103684536,4.86687906,1.123079775,0.750120338,0.937587341,2.49529648,6.075054542,1.166208196,0.788060983,0.879567384,2.005494195,4.695284258
Q96JJ7;Q96JJ7-2,Q96JJ7,Protein disulfide-isomerase TMX3,TMX3,ER,1.666128558,0.759436154,0.885672339,2.491632577,8.895883183,1.342123773,0.740581549,0.693354048,1.924614256,8.117389101,1.356516757,0.7230053,1.019036769,3.82492414,15.18582167,1.392658255,0.76816485,0.900334157,2.910577234,11.17923201,1.127648251,0.672622781,0.957033532,3.335517739,12.0800273,1.100984443,0.695870016,0.940267799,3.020224516,9.102765282
Q8NFQ8,Q8NFQ8,Torsin-1A-interacting protein 2,TOR1AIP2,ER,1.631976582,0.778481806,0.814147481,2.028263295,6.544327873,1.3178961,0.760803417,0.673042177,1.642081978,6.037239781,1.29350132,0.703237359,0.958522355,2.924192468,9.014285902,1.412215922,0.783470211,0.863259942,2.436321934,7.006383051,1.169338587,0.720072349,0.882768309,2.743050418,8.676612186,1.160343677,0.706377496,0.88628987,2.395740303,6.633306599
O14657,O14657,Torsin-1B,TOR1B,ER,1.580892113,0.709262442,0.889542876,2.366183216,6.692312412,1.378074514,0.771719405,0.742171586,1.903150563,5.884407159,1.361550897,0.710299384,1.114876575,3.290553943,7.685920057,1.323444435,0.68542631,0.974165599,2.626165201,6.223418028,1.18260152,0.701649722,0.990188177,3.120741289,7.441344595,1.103220218,0.692720636,0.960688312,2.825553659,6.046308889
Q9H497;Q9H497-2,Q9H497,Torsin-3A,TOR3A,ER,1.796135661,0.82009899,0.884444444,2.653898599,5.886864225,1.317449507,0.814046147,0.785868002,1.629707502,4.051017797,1.312450972,0.760865206,1.018567236,3.28188422,7.803067074,1.269343358,0.770942213,1.076169218,1.90149087,3.23925745,1.183044016,0.682979127,1.003645236,3.533382659,7.65853718,1.159910569,0.736912175,0.983815423,2.415184779,6.322023457
Q15629;Q15629-2,Q15629,Translocating chain-associated membrane protein 1,TRAM1,ER,1.59768111,0.6874728,0.895175175,3.234039916,13.2155347,1.321357196,0.701365863,0.70857932,2.30931809,7.876549776,1.336666689,0.673127059,1.048092525,4.574461098,17.9249367,1.381990437,0.726220696,0.976859984,2.930102626,10.5378874,1.186476353,0.685517161,1.070028467,4.572455343,18.53815496,1.115979351,0.598410994,1.035713893,3.886295036,14.71213865
O95881,O95881,Thioredoxin domain-containing protein 12,TXNDC12,ER,1.729266665,0.72000236,0.906840174,2.882360233,8.706423707,1.450757533,0.717794425,0.7313079,2.215359681,8.423656443,1.285029229,0.663142816,1.126697739,4.000157631,9.960907266,1.428217649,0.727594445,0.9974509,3.500573411,8.631640568,1.109350427,0.648423939,1.026418722,3.609766409,10.01401636,1.204977233,0.7033999,1.060568386,3.41420125,8.332926503
Q8NBS9;Q8NBS9-2,Q8NBS9,Thioredoxin domain-containing protein 5,TXNDC5,ER,1.738880877,0.722259514,0.951578245,3.170695426,11.02803853,1.466723235,0.732517363,0.756130963,2.582213608,10.2045629,1.302737399,0.645881679,1.196934231,4.868443522,14.51547311,1.429106634,0.707884127,1.035172295,3.916252536,12.10302942,1.124431183,0.614598072,1.049133055,4.248317655,13.7043402,1.117969308,0.65219383,1.038937605,3.759905943,11.15841964
Q92575,Q92575,UBX domain-containing protein 4,UBXN4,ER,1.553197443,0.822547928,0.870777444,1.926490641,5.70808025,1.342123773,0.849700493,0.741124345,1.577252866,5.302679839,1.260254163,0.796862914,0.957969964,2.544169611,5.886867203,1.359765816,0.871972525,0.873562004,2.0484018,5.251775884,1.044171904,0.786032061,0.945617213,2.5150266,6.831328385,1.027648691,0.792069286,0.911606465,2.191799405,5.321918843
Q9NYU2;Q9NYU2-2,Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,ER,1.741176808,0.746306309,0.927847848,3.014131647,10.26651942,1.396161533,0.720523422,0.756176995,2.359473044,9.212505582,1.29909481,0.673327603,1.167215605,4.638170426,14.35018169,1.417803826,0.717813947,1.012362474,3.825565325,11.9352914,1.165320242,0.653091588,1.047683833,4.07159215,13.70555901,1.139659834,0.687352373,1.061558604,3.711520852,10.41938371
Q9P0L0-2,Q9P0L0,Vesicle-associated membrane protein-associated protein A,VAPA,ER,1.354240657,0.774955927,0.911885219,2.441180117,5.694214369,1.090401599,0.772374364,0.76971057,1.929542144,5.085523048,0.988601559,0.74532302,1.14107371,3.155779159,6.355586457,1.119104919,0.833298492,1.032253378,2.611344723,5.292415765,0.889824377,0.730341176,1.029169285,3.081281049,6.344290468,0.960938323,0.750855343,1.01244375,2.807804922,5.559275145
O95292,O95292,Vesicle-associated membrane protein-associated protein B/C,VAPB,ER,1.331927075,0.808016582,0.909696363,2.458162886,6.473403276,1.134123059,0.795297938,0.794499108,1.98199678,6.273563368,1.074877728,0.754404813,1.146998101,3.205695745,7.956814336,1.154892909,0.778438107,1.03247791,2.962096039,7.05411521,0.951929344,0.730895459,1.054338423,3.179367932,7.549087718,0.955108921,0.755565099,1.026394833,2.848276564,6.279364415
Q9P2R3;Q9P2R3-2;Q9P2R3-4,Q9P2R3,Rabankyrin-5,ANKFY1,Endosome,1.956133365,0.883122248,0.530917584,1.010846659,2.188968648,1.38734132,0.810061812,0.471097301,0.906413921,2.292489325,1.722249129,0.713522418,0.540182979,1.286153402,3.071272088,1.493875529,0.717276392,0.568594561,1.389949128,2.93124993,1.648956845,0.657511268,0.559429184,1.187725047,2.432508197,1.55017617,0.679235559,0.477560541,1.183512893,1.929072079
O00203;O00203-3,O00203,AP-3 complex subunit beta-1,AP3B1,Endosome,3.370713963,1.367318487,1.088822155,1.130308665,0.755346954,2.582201034,1.255406825,0.981080615,1.010425222,0.72775623,3.056501068,1.344821659,0.961463836,1.083032301,0.769877606,2.907869421,1.378378378,1.050929167,1.116687741,0.778045458,2.651270981,1.220458888,0.944256719,1.047119755,0.79794508,2.578047267,1.216305204,0.956188318,0.973331675,0.818972231
O14617-5;O14617;O14617-4,O14617,AP-3 complex subunit delta-1,AP3D1,Endosome,3.231523135,1.419011721,1.101861862,1.114379571,0.740266274,2.607880134,1.311910707,1.018712239,0.947632971,0.702427961,2.968096645,1.437616387,0.99306059,1.101330671,0.758044839,3.018103541,1.413244736,1.075455998,1.111006557,0.783876887,2.652945292,1.278541943,0.962002292,1.025303879,0.80422197,2.698264056,1.299849689,0.960820341,0.963032886,0.784182446
Q9Y2T2,Q9Y2T2,AP-3 complex subunit mu-1,AP3M1,Endosome,3.38047167,1.327456867,0.950323657,1.084951035,0.780931345,2.467761564,1.171053529,0.923931181,1.044438604,0.752853695,2.818709541,1.355507807,0.952749871,1.059335059,0.781579189,3.145990361,1.299148873,1.059870828,1.089622725,0.802722084,2.691693625,1.17633502,0.979807017,1.024528767,0.824161761,2.450221822,1.244134278,0.951633311,1.010174435,0.843707501
P05067;P05067-9;P05067-5;P05067-6;P05067-4;P05067-3;P05067-10,P05067,Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31,APP,Endosome,1.654505406,0.875288598,0.798825492,2.092723441,4.816000982,1.565978541,0.857409909,0.697543012,1.805249844,4.64237869,1.381046255,0.765907463,0.830188158,2.330447804,4.900234819,1.383133418,0.795057488,0.740678615,2.106272238,4.97506445,1.234923729,0.726709162,0.759968945,2.380579925,5.697831731,1.227803205,0.729539761,0.715290079,2.289021785,5.77966082
Q96BM9,Q96BM9,ADP-ribosylation factor-like protein 8A,ARL8A,Endosome,3.516649088,0.735994217,0.778058058,1.89983885,2.219031842,2.472339143,0.779551626,0.692421888,1.319141014,1.822852641,2.662228255,0.850121759,0.722485759,1.249136312,1.778457018,2.509604211,0.903762879,0.77799057,1.219160761,1.637303133,2.13235426,0.736554983,0.698184776,1.31938132,2.006289078,2.269838111,0.85432682,0.706433122,1.213697051,1.791098557
Q9NVJ2,Q9NVJ2,ADP-ribosylation factor-like protein 8B,ARL8B,Endosome,2.072795368,0.766930493,0.712098765,1.777612495,2.07117001,2.46932464,0.744211115,0.65995742,1.368638917,1.956317767,2.500017053,0.896676694,0.693595719,1.138360897,1.555313595,2.529161878,0.811706734,0.650231796,1.164230894,1.437368427,1.973294744,0.655410826,0.627853155,1.27546771,1.961071093,2.420372473,0.75074082,0.602009044,1.221271352,1.528286315
Q15904,Q15904,V-type proton ATPase subunit S1,ATP6AP1,Endosome,1.85453841,0.823580612,0.819179179,1.896367919,2.773298975,1.565531948,0.755386358,0.704908223,1.528192998,2.515867799,1.847625154,0.741541326,0.76271362,1.453886269,2.027837175,1.7653969,0.835015679,0.842325624,2.180609874,2.101453354,1.352723446,0.700176495,0.811357167,1.871683754,3.235584482,1.395661895,0.735638108,0.799931785,2.236227772,2.672989969
Q93050-3;Q93050;Q93050-1,Q93050,V-type proton ATPase 116 kDa subunit a isoform 1,ATP6V0A1,Endosome,3.142412306,0.856833052,0.799466133,1.626874923,2.189827597,2.343831992,0.813404833,0.711272225,1.37641403,2.079346523,2.769459546,0.899455665,0.706576903,1.256150906,1.784360283,2.515065118,0.929266836,0.807245783,1.389125768,1.682558624,2.342241065,0.748938839,0.725823505,1.453687066,2.443965044,2.323098714,0.842072865,0.755558979,1.347208248,2.070416478
Q9Y487,Q9Y487,V-type proton ATPase 116 kDa subunit a isoform 2,ATP6V0A2,Endosome,1.846502651,0.890129749,0.849129129,1.742779224,1.970550341,1.595453683,0.833422026,0.785246562,1.310927867,1.790339333,1.499600952,0.918106288,0.86132919,1.515231127,1.87002322,1.650082866,0.917903539,0.901456817,1.581909607,1.639779802,1.389797468,0.797380282,0.79721986,1.699608921,2.318305362,1.3892238,0.789535466,0.760191002,1.486598008,2.010321861
Q9HBG4,Q9HBG4,V-type proton ATPase 116 kDa subunit a isoform 4,ATP6V0A4,Endosome,2.398817595,0.813017725,0.743249917,1.368166605,1.893613105,1.762814429,0.844338014,0.686736866,0.915141759,1.778999814,1.965770571,0.891663086,0.703511134,1.127287296,1.869760852,2.020916543,0.925354636,0.712598893,1.378186844,1.383557172,1.812919699,0.728328252,0.661761988,1.140443223,2.230063256,1.845040911,0.722482285,0.679609194,1.164520615,1.702293359
P61421,P61421,V-type proton ATPase subunit d 1,ATP6V0D1,Endosome,2.770471455,0.838761074,0.80671338,1.740176026,2.151420333,1.945694285,0.802147721,0.727418148,1.352212622,2.323698088,2.124298256,0.837831256,0.745009494,1.371523901,1.841949914,2.216874202,0.886456622,0.760278948,1.354779898,1.637415709,1.895319704,0.72383564,0.72301379,1.514991368,2.468706961,2.015474839,0.807758929,0.703055375,1.357495732,2.479687554
P38606;P38606-2,P38606,V-type proton ATPase catalytic subunit A,ATP6V1A,Endosome,1.615761568,0.921656131,0.698551885,1.045580761,1.728817719,1.139482175,0.798436285,0.627400886,0.960500235,1.782110656,1.406830879,0.84831686,0.699506301,1.099754358,2.148657335,1.481175746,0.895520382,0.790168135,1.192460376,2.01533283,1.381067134,0.821506192,0.71087286,1.190910052,2.422635806,1.252970303,0.79805311,0.700260758,1.121889732,2.214550569
P21281,P21281,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,Endosome,1.853964427,0.944965294,0.714714715,1.111838354,2.060003681,1.444840176,0.824293531,0.656228782,1.079481367,2.126109492,1.727160485,0.918134938,0.774562403,1.264032472,2.301486311,1.827371843,0.931521577,0.822830954,1.313259035,2.162694615,1.626712431,0.772408361,0.720973049,1.334827185,2.771216498,1.540577556,0.813785699,0.701790096,1.246255243,2.495147098
P21283,P21283,V-type proton ATPase subunit C 1,ATP6V1C1,Endosome,1.980097147,1.496507314,0.811584918,0.744861783,0.770390822,1.651501111,1.406388582,0.858818114,0.784235137,0.825998605,2.006698545,1.393682853,0.782171586,0.688664994,0.766151989,1.838293657,1.333462745,0.872954446,0.692633869,0.698724516,1.850113315,1.387050192,0.767126326,0.721586865,0.786122588,1.9708764,1.33961778,0.752478298,0.683631595,0.695679464
P36543;P36543-3;P36543-2,P36543,V-type proton ATPase subunit E 1,ATP6V1E1,Endosome,2.309563271,1.178101188,0.89009009,0.90178505,1.044996626,1.841414807,1.146397042,0.859174866,0.995521097,1.145190991,2.039031644,1.209812348,0.807415847,0.891589055,1.170197694,1.881853914,1.081977005,0.847238915,0.889064016,0.997118058,1.802275867,1.113861458,0.76234981,0.923876969,1.17753239,1.856395369,1.060911889,0.765274126,0.896390337,1.02423545
O75348,O75348,V-type proton ATPase subunit G 1,ATP6V1G1,Endosome,2.283447054,1.168718512,0.734761428,0.850105368,0.991177373,1.917335626,1.101341302,0.708038437,0.861679643,1.070129401,1.998649377,0.966351526,0.824816157,0.850434143,1.095659132,2.036410279,1.186053457,0.77401503,0.767183227,0.933929235,1.79545903,0.954680047,0.701127583,0.849268929,1.072287835,1.577801449,0.966001002,0.715059028,0.770532575,1.015715265
Q9UI12;Q9UI12-2,Q9UI12,V-type proton ATPase subunit H,ATP6V1H,Endosome,1.560372228,1.037434812,0.842002002,1.257716623,1.919995092,1.283396787,0.957059233,0.749076472,1.093564178,2.137850409,1.422383509,0.939063171,0.739002244,1.180579821,2.45798843,1.485112679,0.902747499,0.77182254,1.301379128,2.105168357,1.567154808,0.942150327,0.735006839,1.263460522,2.358648092,1.302602161,0.852480137,0.791525927,1.310128085,2.402854785
P86791;P86790,P86791,Vacuolar fusion protein CCZ1 homolog;Vacuolar fusion protein CCZ1 homolog B,CCZ1;CCZ1B,Endosome,3.764896647,0.845193223,0.699152486,1.575182844,3.655316277,2.457378275,0.73581945,0.602738938,1.311256393,3.396436581,2.687740026,0.813035382,0.630857932,1.314513904,2.558868672,2.304629706,0.882320442,0.708544107,1.52039286,2.813720744,2.603313939,0.740697522,0.637376613,1.447204312,3.780759808,2.227814911,0.801961205,0.601161857,1.461501068,3.355534633
P51790;P51790-4;P51790-5,P51790,H(+)/Cl(-) exchange transporter 3,CLCN3,Endosome,3.357225367,1.097994379,0.7933667,1.240609892,1.198490705,2.143646656,0.951041795,0.731204327,1.061149622,1.170679819,2.70588476,1.107491763,0.769604695,1.259566251,1.08507261,1.708374872,1.036628341,0.761507271,1.14098862,1.088709768,2.175407964,0.854909054,0.727731155,1.178198217,1.416261411,2.379519835,1.074282442,0.74126682,1.149937258,1.304297288
O75165,O75165,DnaJ homolog subfamily C member 13,DNAJC13,Endosome,6.061688801,2.087350353,0.84691358,0.911094583,0.526621265,4.473410966,1.888875244,0.781966741,0.743147497,0.520493921,5.561156625,1.778541756,0.835297773,1.054054409,0.572577366,5.137570404,1.770792892,0.91193058,1.051360014,0.559265555,4.71091232,1.61063057,0.756212799,0.967945601,0.600107256,4.212269838,1.601889629,0.718612813,0.906915224,0.623100975
Q15075,Q15075,Early endosome antigen 1,EEA1,Endosome,2.000904023,0.56229669,0.306559893,0.880327259,4.91588441,1.514062099,0.417522889,0.229426319,0.788046037,4.028138061,1.43070553,0.472640023,0.267301916,1.000735613,4.595626336,1.323698431,0.350231447,0.266083764,1.008510013,4.66109041,1.348418075,0.41973832,0.245376909,0.778663284,3.179762819,1.616312962,0.382821559,0.190980207,0.809025854,4.015994235
Q9H4M9,Q9H4M9,EH domain-containing protein 1,EHD1,Endosome,1.148553922,1.038541259,0.833139806,1.038911615,1.378366771,0.925240323,1.046911458,0.801829795,0.916455863,1.257080927,0.992585215,1.100515685,0.811807354,1.052845902,1.429902006,0.938501299,1.058877109,0.901813427,1.095398006,1.36813428,0.967679824,1.046676488,0.774786499,1.028108375,1.367265104,1.012700605,1.09406628,0.908041677,1.12057836,1.395775941
Q9H223,Q9H223,EH domain-containing protein 4,EHD4,Endosome,1.155054277,1.09480781,0.842949616,1.005937771,1.157261182,0.965020599,1.07144514,0.816099891,0.92846896,1.215335444,0.966486811,1.17450222,0.890163991,1.122965571,1.377034987,0.904935771,1.099731223,0.949638767,1.088199488,1.272332234,1.07517057,1.228919002,0.865717771,1.063002501,1.347642205,1.037294127,1.218352301,0.91475316,1.02268899,1.172019388
Q641Q2;Q641Q2-2,Q641Q2,WASH complex subunit FAM21A,FAM21A,Endosome,3.405583418,1.116995773,0.474914915,0.896876162,2.742867661,2.738508602,0.918553086,0.399620231,0.801427993,2.839294943,2.866322417,0.89167741,0.447837045,1.003940783,2.614096997,3.165929021,0.930715246,0.520201286,0.960919811,2.873611095,3.109434143,0.778549236,0.425124774,0.973272734,2.994746913,3.022392864,0.900966287,0.447589917,1.033157353,2.956259953
O14964;O14964-2,O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,Endosome,2.304827913,0.885158111,0.442869536,0.985521259,2.765077612,1.754552458,0.766329636,0.397744404,0.750462674,2.763229856,2.109837038,0.826500501,0.42948386,0.938681414,2.612785161,1.932399053,0.747304763,0.463024844,0.961519687,2.369271297,1.800481962,0.657248713,0.405027912,0.807765212,2.662010799,1.8924487,0.709870446,0.413779445,0.923137796,2.463763062
P11717,P11717,Cation-independent mannose-6-phosphate receptor,IGF2R,Endosome,3.476326797,1.607889709,0.808675342,0.811032602,0.706705933,2.694407538,1.525645749,0.768364118,0.617464437,0.63519365,2.798109128,1.677696605,0.932283791,0.851143484,0.702449199,2.8504664,1.604001792,0.980412875,0.841473814,0.640365196,2.571262849,1.559578161,0.850146031,0.83452771,0.765524638,2.3573962,1.447426813,0.80841466,0.789683123,0.70676849
Q12768,Q12768,WASH complex subunit strumpellin,KIAA0196,Endosome,3.236975972,1.051936652,0.45640307,0.886996405,2.082827167,3.028794087,0.967825126,0.425490535,0.770710821,2.058072382,2.358133412,0.936441771,0.470236492,0.92081653,2.063125582,2.49093553,0.958294759,0.538903491,1.089222807,2.156953247,2.470923801,0.764371253,0.412022626,0.914871578,2.196424001,2.507462337,0.909040155,0.48741872,1.056671603,2.382397043
Q2M389;Q2M389-2,Q2M389,WASH complex subunit 7,KIAA1033,Endosome,3.694583755,1.172923013,0.46355689,0.932230073,2.327136634,2.882534862,1.014873033,0.446113125,0.785450683,2.235591035,2.971507309,1.065921788,0.507923356,0.928225203,1.766781671,2.785697504,0.918903987,0.571064414,1.025306555,2.097288048,2.95874618,0.941333489,0.475862324,0.925525843,1.844186869,2.936824732,0.921165271,0.482665669,0.962716348,2.237333054
P20645,P20645,Cation-dependent mannose-6-phosphate receptor,M6PR,Endosome,3.90093057,2.578908157,0.959773106,0.708454196,0.530314743,2.959460516,2.3762741,0.879578802,0.538563466,0.477714836,3.063731676,2.162440911,0.914054894,0.73508742,0.530388697,3.336741109,2.086307302,1.005718965,0.743646896,0.508640196,3.020934863,2.039470805,0.8441569,0.717246239,0.573975892,2.992309403,1.923985398,0.878038046,0.740212759,0.586951215
Q7L1V2;Q7L1V2-2,Q7L1V2,Vacuolar fusion protein MON1 homolog B,MON1B,Endosome,4.008552344,0.782155212,0.65696363,1.744390728,5.073808209,2.720979825,0.72235185,0.597353127,1.421422079,3.114654571,2.972871575,0.759432746,0.586873813,1.511815782,3.259783022,3.379793375,0.844512468,0.685932403,1.656247243,2.998345135,2.84907883,0.698528232,0.604591667,1.520487616,4.821260985,2.224186166,0.675313149,0.564402733,1.463762054,4.09503551
Q01968;Q01968-2,Q01968,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Endosome,2.372414387,2.408662747,1.213600267,0.763307301,0.581839377,1.955072739,2.351167328,1.099234709,0.589014094,0.492004636,2.141078725,2.165878814,1.13923701,0.795959384,0.615028401,2.33079126,2.143646409,1.304399509,0.743246979,0.502527328,1.771899087,2.121446388,1.078856889,0.747024627,0.636708228,1.692165424,2.043089256,1.092739495,0.663667092,0.540351734
Q15907;Q15907-2,Q15907,Ras-related protein Rab-11B,RAB11B,Endosome,1.425213629,1.158258894,0.890263597,1.17808355,1.757776551,1.12887559,1.132574672,0.844214282,0.925008487,1.538862937,1.324592937,1.134407678,0.891641636,1.162596713,1.640451797,1.364337738,1.248573988,0.947340615,1.074084747,1.489153317,1.033121453,1.032746474,0.85205368,1.241264137,1.907808939,1.138746796,1.117929998,0.908635809,1.106356761,1.509688368
Q6WKZ4;Q6WKZ4-3,Q6WKZ4,Rab11 family-interacting protein 1,RAB11FIP1,Endosome,1.467817502,1.122011669,0.78319653,1.054121731,1.590404319,1.191398618,1.236481231,0.794545141,0.900237634,1.621651455,1.549260227,1.330697608,0.780569653,0.977603216,1.575909431,1.537308789,1.290100045,0.895288788,1.002922928,1.522363192,1.133388745,1.072304797,0.739014381,1.150392841,1.991907078,1.253555584,1.216262258,0.843490411,1.047164159,1.589194593
Q9BXF6,Q9BXF6,Rab11 family-interacting protein 5,RAB11FIP5,Endosome,1.387072473,1.059401486,0.858858859,1.129069047,1.73593472,1.068630187,1.174301036,0.776097589,0.931327135,1.726215862,1.484730455,1.154376164,0.821557052,1.081981426,1.543769432,1.486255659,1.279707332,0.779958528,0.919469521,1.504913936,1.1608594,1.075061628,0.763843395,1.121600958,2.073567589,1.183790048,1.128380216,0.881877895,1.010909255,1.552812358
P61106,P61106,Ras-related protein Rab-14,RAB14,Endosome,2.085853477,1.355767174,0.971024358,1.174327507,1.320694521,1.609186419,1.262734182,0.857989528,0.929027454,1.20259103,1.822249811,1.201876522,0.969722078,1.305581463,1.422293353,1.870678105,1.266880693,1.076776775,1.3424295,1.321190152,1.439189634,1.105941042,0.902480683,1.221223972,1.487927651,1.546898594,1.163882328,0.937253133,1.197531004,1.382873615
P20338,P20338,Ras-related protein Rab-4A,RAB4A,Endosome,2.755691398,1.347638472,0.700914248,0.954543201,1.449168661,2.107026025,1.236017302,0.635514126,0.673609514,1.186735774,2.296468598,1.253488039,0.688886587,0.966437663,1.407994333,2.605487576,1.232596685,0.785281259,1.005981122,1.42509766,2.224441348,1.082048514,0.670753078,1.029419018,1.557156264,1.956712592,1.12425739,0.652917295,1.000033915,1.534795597
P51151,P51151,Ras-related protein Rab-9A,RAB9A,Endosome,2.089297373,0.740301986,0.763723724,1.992562291,3.422418553,1.492179039,0.685878805,0.705345532,1.505415202,3.3185652,1.413652208,0.768801031,0.81140687,1.829048826,3.282608981,1.54543665,0.804345229,0.870352515,1.856676567,3.069943374,1.395059588,0.649605438,0.770631077,1.716661382,3.624507904,1.344274193,0.652909598,0.757726458,1.873226539,3.633457707
O15126;O15126-2,O15126,Secretory carrier-associated membrane protein 1,SCAMP1,Endosome,1.983541043,1.527930427,0.869309309,0.859228957,0.858371679,1.673495819,1.399566089,0.836273664,0.677267103,0.726361369,1.788825299,1.475863057,0.872887968,0.835038817,0.797806609,2.051269026,1.508585934,0.974905234,0.884688446,0.719134517,1.603032894,1.389311084,0.790299087,0.984786668,0.965361317,1.672617027,1.427814759,0.816512449,0.851769786,0.866641094
O15127,O15127,Secretory carrier-associated membrane protein 2,SCAMP2,Endosome,2.030177145,1.531766112,0.802242242,0.833482088,0.860187742,1.683767459,1.569036801,0.767040681,0.639848002,0.835531828,1.883641771,1.449935539,0.730661143,0.871911411,0.926274777,2.087844402,1.477646707,0.932230925,0.87152645,0.880939783,1.631256989,1.352801319,0.71116862,0.809315435,1.000377832,1.761462735,1.534893708,0.735380519,0.815243565,0.965849519
O14828;O14828-2,O14828,Secretory carrier-associated membrane protein 3,SCAMP3,Endosome,2.538295415,1.626773082,1.127847848,1.121333829,0.68642248,1.892773008,1.534514989,0.911168652,0.830152107,0.658625309,2.085280254,1.430683283,0.983614707,1.141093173,0.630468719,2.022440517,1.316932955,1.046636641,1.05324198,0.637168042,1.663906047,1.384978923,0.988694591,1.077814185,0.764123003,1.765442648,1.384911603,0.975035483,0.977424059,0.663795609
Q6P3W7,Q6P3W7,SCY1-like protein 2,SCYL2,Endosome,1.732567066,1.305726235,0.786039373,0.736097682,1.058396221,1.373608584,1.548569323,0.831497785,0.660107099,1.121006708,1.699193037,1.54018049,0.857296737,0.690766745,1.019257763,1.644621959,1.650440496,0.813915708,0.693539565,1.147823346,1.319954794,1.391819945,0.740907242,0.633914667,0.937133594,1.617015299,1.556509913,0.744655569,0.658579875,0.890062884
O95295,O95295,SNARE-associated protein Snapin,SNAPIN,Endosome,3.701041061,1.391424293,0.931531532,0.974079583,0.632210565,2.809740194,1.313097821,0.778307152,0.801844125,0.642228165,3.759507227,1.236226902,0.759026411,0.946786291,0.596531504,2.781379577,1.532626549,0.94049899,0.979539507,0.595728872,2.802915692,1.251090334,0.785123295,0.830919917,0.602508318,2.542345105,1.384754134,0.792780204,0.829159931,0.793028095
