"Protein ID","Protein name","Protein Description (TAIR10)","Subcellular localisation marker (known localisation)","Localisation Method",PMID
AT5G18480,PGSIP6,"plant glycogenin-like starch initiation protein 6 (PGSIP6); FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups; INVOLVED IN: carbohydrate biosynthetic process, biosynthetic process; LOCATED IN: membrane; EXPRESSED IN: guard cell, leaf; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 8 (InterPro:IPR002495); BEST Arabidopsis thaliana protein match is: plant glycogenin-like starch initiation protein 5 (TAIR:AT1G08990.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",Golgi,YFP,22706449
AT3G03050,CSLD3,"encodes a cellulose synthase like protein. mutations initiate root  hairs that rupture at their tip soon after initiation. is required for the synthesis of a  noncellulosic wall polysaccharide.",Golgi,YFP,17892446
AT3G07770,Hsp89.1,"HEAT SHOCK PROTEIN 89.1 (Hsp89.1); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to stress; LOCATED IN: mitochondrion, cell wall; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404), Heat shock protein Hsp90, C-terminal (InterPro:IPR020576), Heat shock protein Hsp90, conserved site (InterPro:IPR019805), Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568), Heat shock protein Hsp90, N-terminal (InterPro:IPR020575), ATPase-like, ATP-binding domain (InterPro:IPR003594); BEST Arabidopsis thaliana protein match is: Chaperone protein htpG family protein (TAIR:AT2G04030.1); Has 8883 Blast hits to 8831 proteins in 2450 species: Archae - 4; Bacteria - 3390; Metazoa - 2079; Fungi - 316; Plants - 459; Viruses - 0; Other Eukaryotes - 2635 (source: NCBI BLink).",Mitochondrion,GFP,18368500
AT1G63940,MDAR6,"monodehydroascorbate reductase 6 (MDAR6); FUNCTIONS IN: ATP binding; INVOLVED IN: response to cadmium ion, response to cold; LOCATED IN: mitochondrion, stromule, chloroplast; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region (InterPro:IPR001327); BEST Arabidopsis thaliana protein match is: monodehydroascorbate reductase 1 (TAIR:AT3G52880.1); Has 32816 Blast hits to 32747 proteins in 3098 species: Archae - 747; Bacteria - 25716; Metazoa - 998; Fungi - 665; Plants - 641; Viruses - 0; Other Eukaryotes - 4049 (source: NCBI BLink).",Mitochondrion,GFP,12954611
AT2G33040,ATP3,"gamma subunit of Mt ATP synthase (ATP3); FUNCTIONS IN: zinc ion binding; INVOLVED IN: proton transport, ATP synthesis coupled proton transport; LOCATED IN: in 7 components; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 17 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F1 complex, gamma subunit (InterPro:IPR000131); BEST Arabidopsis thaliana protein match is: ATPase, F1 complex, gamma subunit protein (TAIR:AT1G15700.1); Has 9548 Blast hits to 9546 proteins in 2754 species: Archae - 5; Bacteria - 5621; Metazoa - 285; Fungi - 151; Plants - 166; Viruses - 0; Other Eukaryotes - 3320 (source: NCBI BLink).",Mitochondrion,GFP,23250447
AT3G50930,BCS1,"cytochrome BC1 synthesis (BCS1); FUNCTIONS IN: nucleoside-triphosphatase activity, ATPase activity, nucleotide binding, ATP binding; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, AAA-type, core (InterPro:IPR003959), ATPase, AAA+ type, core (InterPro:IPR003593), ATPase, AAA-type, conserved site (InterPro:IPR003960); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT3G50940.1); Has 21434 Blast hits to 19763 proteins in 2733 species: Archae - 1352; Bacteria - 7111; Metazoa - 3538; Fungi - 2773; Plants - 2474; Viruses - 30; Other Eukaryotes - 4156 (source: NCBI BLink).",Mitochondrion,GFP,19995732
AT5G09590,MTHSC70-2,"heat shock protein 70 (Hsc70-5); nuclear",Mitochondrion,GFP,19995732
AT4G29130,HXK1,"Encodes a hexokinase (HXK1) in the plant glucose-signaling network.  Functions as a glucose sensor to interrelate nutrient, light, and hormone signaling networks for controlling growth and development in response to the changing environment.",Mitochondrion,GFP,"23257241, 17530285"
AT5G15090,VDAC3,"Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol.",Mitochondrion,GFP,21705391
AT5G67500,VDAC2,"Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol.",Mitochondrion,GFP,21705391
AT3G01280,VDAC1,"Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol.",Mitochondrion,GFP,21705391
AT3G23990,HSP60,"mitochondrial chaperonin HSP. assist in  rapid assembly of the oligomeric protein structures in the mitochondria.",Mitochondrion,GFP,10948212
AT1G79230,MST1,"encodes a sulfurtransferase/rhodaneses, which belongs to a group of enzymes widely distributed in all three phyla that catalyze the transfer of sulfur from a donor to a thiophilic acceptor substrate. The protein and transcript levels are NOT affected by senescence or exogenous cyanide, suggesting that sulfurtransferases are involved in cyanide detoxification.",Mitochondrion,GFP,"15181206, 10951223, 10734224"
AT1G24180,IAR4,"Arabidopsis thaliana pyruvate dehydrogenase E1a-like subunit. 81% identical to a previously characterized Arabidopsis mitochondrial PDH E1a-subunit, At1g59900. Serine 296 phosphorylation of IAR4 has critical function in root hair formation and root development. Changing Ser296 in IAR4 to Ala resulted in a phenotype intermediate between mutant and wild-type, while substitution to Asp was either lethal or caused an extreme dwarf phenotype.",Mitochondrion,GFP,19395411
AT2G20800,NDB4,"NAD(P)H dehydrogenase B4 (NDB4); FUNCTIONS IN: NADH dehydrogenase activity; INVOLVED IN: oxidation reduction; LOCATED IN: extrinsic to mitochondrial inner membrane, mitochondrion, plastid; EXPRESSED IN: 7 plant structures; CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase, class-II (InterPro:IPR000103), FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region (InterPro:IPR001327), EF-HAND 2 (InterPro:IPR018249); BEST Arabidopsis thaliana protein match is: NAD(P)H dehydrogenase B3 (TAIR:AT4G21490.1); Has 11460 Blast hits to 10815 proteins in 2238 species: Archae - 334; Bacteria - 8988; Metazoa - 48; Fungi - 603; Plants - 426; Viruses - 0; Other Eukaryotes - 1061 (source: NCBI BLink).",Mitochondrion,GFP,18703057
AT4G05020,NDB2,"NAD(P)H dehydrogenase B2 (NDB2); FUNCTIONS IN: disulfide oxidoreductase activity, oxidoreductase activity, FAD binding, calcium ion binding; INVOLVED IN: oxidation reduction; LOCATED IN: mitochondrion, extrinsic to mitochondrial inner membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), EF-Hand 1, calcium-binding site (InterPro:IPR018247), Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region (InterPro:IPR001327), EF-HAND 2 (InterPro:IPR018249), Calcium-binding EF-hand (InterPro:IPR002048); BEST Arabidopsis thaliana protein match is: NAD(P)H dehydrogenase B3 (TAIR:AT4G21490.1).",Mitochondrion,GFP,"18703057, 12972666"
AT2G47510,FUM1,"Encodes a mitochondrial-localized protein. The FUM1 gene appears to be essential, suggesting that FUM1 may play a crucial role as a fumarase in the tricarboxylic acid cycle.",Mitochondrion,GFP,20202172
AT5G03290,IDH-V,"Encodes a catalytic subunit of the mitochondrially-localized NAD+- dependent isocitrate dehydrogenase.",Mitochondrion,GFP,19036033
AT5G57490,VDAC4,"Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol.",Mitochondrion,GFP,21705391
AT1G53000,CKS,"Encodes a mitochondrial-localized CMP-KDO (3-deoxy-D-manno-octulosonate) synthetase. This is the enzyme activating KDO as a nucleotide sugar prior to its   incorporation into rhamnogalacturonan-II. Heterozygous mutants are defective in pollen development and in pollen tube elongation.",Mitochondrion,GFP,21515817
AT5G40770,PHB3,"prohibitin 3",Mitochondrion,GFP,17883375
AT1G03860,PHB2,"prohibitin 2",Mitochondrion,GFP,17883375
AT4G28510,PHB1,"prohibitin 1 (Atphb1)",Mitochondrion,GFP,17883375
AT2G42210,OEP16-3,"Homologous to pea OEP16 and barley pPORA (OEP16), a member of Arabidopsis OEP16 family.",Mitochondrion,GFP,17098851
AT3G07480," ","2Fe-2S ferredoxin-like superfamily protein; FUNCTIONS IN: electron carrier activity, iron-sulfur cluster binding; LOCATED IN: mitochondrion, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ferredoxin (InterPro:IPR001041), Beta-grasp fold, ferredoxin-type (InterPro:IPR012675); Has 1263 Blast hits to 1263 proteins in 213 species: Archae - 0; Bacteria - 293; Metazoa - 132; Fungi - 8; Plants - 41; Viruses - 0; Other Eukaryotes - 789 (source: NCBI BLink).",Mitochondrion,GFP,19036033
AT1G72750,TIM23-2,"translocase inner membrane subunit 23-2 (TIM23-2); FUNCTIONS IN: protein transporter activity, P-P-bond-hydrolysis-driven protein transmembrane transporter activity; INVOLVED IN: intracellular protein transport, protein transport; LOCATED IN: mitochondrion, mitochondrial inner membrane, mitochondrial inner membrane presequence translocase complex, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Mitochondrial inner membrane translocase complex, subunit Tim23 (InterPro:IPR005681), Mitochondrial inner membrane translocase complex, subunit Tim17/22 (InterPro:IPR003397); BEST Arabidopsis thaliana protein match is: translocase of inner mitochondrial membrane 23 (TAIR:AT1G17530.1); Has 613 Blast hits to 613 proteins in 178 species: Archae - 0; Bacteria - 0; Metazoa - 286; Fungi - 136; Plants - 143; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).",Mitochondrion,GFP,17098851
AT2G20530,PHB6,"prohibitin 6 (PHB6); INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plasma membrane, mitochondrial respiratory chain complex I, respiratory chain complex I, membrane; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Prohibitin (InterPro:IPR000163), Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: prohibitin 1 (TAIR:AT4G28510.1); Has 3312 Blast hits to 3310 proteins in 1013 species: Archae - 176; Bacteria - 1509; Metazoa - 442; Fungi - 292; Plants - 251; Viruses - 11; Other Eukaryotes - 631 (source: NCBI BLink).",Mitochondrion,GFP,17883375
AT2G29990,NDA2,"alternative NAD(P)H dehydrogenase 2 (NDA2); FUNCTIONS IN: NADH dehydrogenase activity, oxidoreductase activity, FAD binding; INVOLVED IN: oxidation reduction; LOCATED IN: intrinsic to mitochondrial inner membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region (InterPro:IPR001327); BEST Arabidopsis thaliana protein match is: alternative  NAD(P)H dehydrogenase 1 (TAIR:AT1G07180.1); Has 11797 Blast hits to 11597 proteins in 2273 species: Archae - 301; Bacteria - 9312; Metazoa - 49; Fungi - 695; Plants - 411; Viruses - 0; Other Eukaryotes - 1029 (source: NCBI BLink).",Mitochondrion,GFP,"18703057, 18318686, 12972666"
AT5G65720,NFS1,"Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).",Mitochondrion,GFP,11158531
AT5G60730," ","Anion-transporting ATPase; FUNCTIONS IN: ATP binding; INVOLVED IN: cellular metal ion homeostasis, anion transport; LOCATED IN: membrane; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, anion-transporting (InterPro:IPR003348); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT3G10350.1); Has 2815 Blast hits to 2379 proteins in 780 species: Archae - 173; Bacteria - 1911; Metazoa - 144; Fungi - 222; Plants - 104; Viruses - 0; Other Eukaryotes - 261 (source: NCBI BLink).",Mitochondrion,GFP,21908688
AT5G67590,FRO1,"Mutant leaves have a reduced capacity for cold acclimation, appear water-soaked, leak electrolytes, and accumulate reactive oxygen species constitutively. Encode a protein with high similarity to the 18-kD Fe-S subunit of complex I (NADH dehydrogenase, EC 1.6.5.3) in the mitochondrial electron transfer chain.",Mitochondrion,GFP,12084824
AT5G48030,GFA2,"encodes a mitochondrially targeted DNAJ protein involved in female gametophyte development.",Mitochondrion,GFP,12215516
AT5G37510,EMB1467,"Encodes a subunit of the 400 kDa subcomplex of the mitochondrial NADH dehydrogenase (complex I).  The protein has been isolated in the male gametophyte.",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT5G08530,CI51,"51 kDa subunit of complex I (CI51); FUNCTIONS IN: 4 iron, 4 sulfur cluster binding, NAD or NADH binding, FMN binding, NADH dehydrogenase (ubiquinone) activity, oxidoreductase activity, acting on NADH or NADPH; INVOLVED IN: oxidation reduction, mitochondrial electron transport, NADH to ubiquinone; LOCATED IN: mitochondrion, mitochondrial respiratory chain complex I, respiratory chain complex I; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site (InterPro:IPR001949), NADH:ubiquinone oxidoreductase, 51kDa subunit (InterPro:IPR011538), NADH ubiquinone oxidoreductase, F subunit (InterPro:IPR011537), Soluble ligand binding domain (InterPro:IPR019554), NADH ubiquinone oxidoreductase, F subunit, iron sulphur binding (InterPro:IPR019575); Has 8894 Blast hits to 8884 proteins in 1703 species: Archae - 49; Bacteria - 4484; Metazoa - 213; Fungi - 125; Plants - 97; Viruses - 0; Other Eukaryotes - 3926 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT2G20360," ","NAD(P)-binding Rossmann-fold superfamily protein; FUNCTIONS IN: coenzyme binding, binding, catalytic activity; INVOLVED IN: response to salt stress; LOCATED IN: mitochondrion, respiratory chain complex I, membrane; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: NAD-dependent epimerase/dehydratase (InterPro:IPR001509), NAD(P)-binding domain (InterPro:IPR016040); Has 5254 Blast hits to 5252 proteins in 1137 species: Archae - 81; Bacteria - 3082; Metazoa - 148; Fungi - 134; Plants - 101; Viruses - 0; Other Eukaryotes - 1708 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT5G66760,SDH1-1,"One of two genes in Arabidopsis that encode a flavoprotein subunit of the  mitochondrial succinate dehydrogenase complex.",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT1G51980," ","Insulinase (Peptidase family M16) protein; FUNCTIONS IN: metalloendopeptidase activity, ATP binding; INVOLVED IN: proteolysis, response to salt stress; LOCATED IN: in 6 components; EXPRESSED IN: 28 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase M16, zinc-binding site (InterPro:IPR001431), Peptidase M16, C-terminal (InterPro:IPR007863), Peptidase M16, N-terminal (InterPro:IPR011765), Metalloenzyme, LuxS/M16 peptidase-like, metal-binding (InterPro:IPR011249), Peptidase M16, core (InterPro:IPR011237); BEST Arabidopsis thaliana protein match is: mitochondrial processing peptidase alpha subunit (TAIR:AT3G16480.1); Has 6114 Blast hits to 5997 proteins in 1482 species: Archae - 10; Bacteria - 3458; Metazoa - 684; Fungi - 568; Plants - 250; Viruses - 3; Other Eukaryotes - 1141 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT3G17240,mtLPD2,"lipoamide dehydrogenase precursor",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT1G47260,"GAMMA CA2","Encodes mitochondrial gamma carbonic anhydrase. Component of the NADH dehydrogenase complex.",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT3G16480,MPPalpha,"mitochondrial processing peptidase alpha subunit (MPPalpha); FUNCTIONS IN: metalloendopeptidase activity, catalytic activity, zinc ion binding, metal ion binding; INVOLVED IN: proteolysis; LOCATED IN: in 8 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase M16, zinc-binding site (InterPro:IPR001431), Peptidase M16, C-terminal (InterPro:IPR007863), Peptidase M16, N-terminal (InterPro:IPR011765), Metalloenzyme, LuxS/M16 peptidase-like, metal-binding (InterPro:IPR011249), Peptidase M16, core (InterPro:IPR011237); BEST Arabidopsis thaliana protein match is: Insulinase (Peptidase family M16) protein (TAIR:AT1G51980.1); Has 6415 Blast hits to 6299 proteins in 1510 species: Archae - 10; Bacteria - 3712; Metazoa - 680; Fungi - 566; Plants - 250; Viruses - 3; Other Eukaryotes - 1194 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT4G02580," ","NADH-ubiquinone oxidoreductase 24 kDa subunit, putative; FUNCTIONS IN: NADH dehydrogenase (ubiquinone) activity, zinc ion binding; INVOLVED IN: response to oxidative stress, mitochondrial electron transport, NADH to ubiquinone; LOCATED IN: mitochondrion, mitochondrial respiratory chain complex I, respiratory chain complex I; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), NADH:ubiquinone oxidoreductase, 24kDa subunit (InterPro:IPR002023), Thioredoxin-like fold (InterPro:IPR012336); Has 5564 Blast hits to 5564 proteins in 1535 species: Archae - 26; Bacteria - 3396; Metazoa - 195; Fungi - 114; Plants - 49; Viruses - 0; Other Eukaryotes - 1784 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT5G13450,ATP5,"delta subunit of Mt ATP synthase (ATP5); FUNCTIONS IN: hydrogen ion transporting ATP synthase activity, rotational mechanism, cobalt ion binding, zinc ion binding; INVOLVED IN: ATP synthesis coupled proton transport; LOCATED IN: mitochondrion, chloroplast, plasma membrane, membrane, mitochondrial proton-transporting ATP synthase complex, catalytic core F(1); EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F1 complex, OSCP/delta subunit (InterPro:IPR000711); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT5G52840," ","NADH-ubiquinone oxidoreductase-related; FUNCTIONS IN: oxidoreductase activity, acting on NADH or NADPH; INVOLVED IN: photorespiration; LOCATED IN: mitochondrion, mitochondrial membrane, chloroplast, respiratory chain complex I, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: ETC complex I subunit (InterPro:IPR006806); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G28005.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT5G11770," ","NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial; FUNCTIONS IN: NADH dehydrogenase (ubiquinone) activity, zinc ion binding; INVOLVED IN: oxidation reduction, mitochondrial electron transport, NADH to ubiquinone; LOCATED IN: mitochondrion, respiratory chain complex I; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase-like, 20kDa subunit (InterPro:IPR006137), [NiFe]-hydrogenase-3-type complex, small subunit/NADH:quinone oxidoreductase, subunit NuoB (InterPro:IPR014406), NADH:ubiquinone oxidoreductase, 20kDa subunit (InterPro:IPR006138); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein G (TAIR:ATCG00430.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT1G19580,"GAMMA CA1","Encodes mitochondrial gamma carbonic anhydrase. Component of the NADH dehydrogenase complex.",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT3G47930,GLDH,"L-Galactono-1,4-lactone dehydrogenase, catalyzes the final step of ascorbate biosynthesis",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT1G47420,SDH5,"predicted to encode subunit 5 of mitochondrial complex II and to participate in the respiratory chain",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT5G66510,"GAMMA CA3","Encodes mitochondrial gamma carbonic anhydrase. Component of the NADH dehydrogenase complex.",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT1G08480,SDH6,"predicted to encode subunit 6 of mitochondrial complex II and to participate in the respiratory chain",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT3G52300,ATPQ,"ATP synthase D chain, mitochondrial (ATPQ); FUNCTIONS IN: copper ion binding, zinc ion binding; INVOLVED IN: response to salt stress; LOCATED IN: in 7 components; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 16 growth stages; Has 290 Blast hits to 290 proteins in 107 species: Archae - 0; Bacteria - 2; Metazoa - 173; Fungi - 39; Plants - 62; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT4G16450," ","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photorespiration; LOCATED IN: mitochondrion, mitochondrial membrane, mitochondrial respiratory chain complex I, respiratory chain complex I, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT4G30010," ","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; Has 39 Blast hits to 39 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",Mitochondrion,"Homology: Mitochondrion respiratory chain",
AT2G35010,TO1,"thioredoxin O1 (TO1); INVOLVED IN: cell redox homeostasis; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Thioredoxin-like subdomain (InterPro:IPR006662), Thioredoxin, core (InterPro:IPR015467), Thioredoxin-like (InterPro:IPR017936), Thioredoxin domain (InterPro:IPR013766), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: thioredoxin O2 (TAIR:AT1G31020.1); Has 13800 Blast hits to 13766 proteins in 2821 species: Archae - 178; Bacteria - 7899; Metazoa - 1073; Fungi - 652; Plants - 1267; Viruses - 5; Other Eukaryotes - 2726 (source: NCBI BLink).",Mitochondrion,"Protein import assay",11717467
ATCG00480,PB,"chloroplast-encoded gene for beta subunit of ATP synthase",Plastid,"Encoded by the plastid genome",
ATCG00120,ATPA,"Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.",Plastid,"Encoded by the plastid genome",
ATCG00500,ACCD,"Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.",Plastid,"Encoded by the plastid genome",
AT1G74030,ENO1,"Encodes the plastid-localized phosphoenolpyruvate enolase. Mutant plants have abnormal trichomes.",Plastid,GFP,"20002588; 19223001"
AT2G28000,CPN60A,"Encodes chaperonin-60 alpha, a molecular chaperone involved in Rubisco folding.  Mutants display aberrant chloroplast and embryo development.",Plastid,GFP,19036033
AT5G20720,"CPN20 / HSP20","Encodes a chloroplast co-chaperonin with similarity to CPN21 from spinach, E.coli GroES.",Plastid,GFP,19036033
AT4G35630,PSAT,"Encodes a phosphoserine aminotransferase which is involved in serine biosynthesis in the chloroplast which operates via the phosphorylated pathway.",Plastid,GFP,9881164
AT5G42650,AOS,"Encodes a member of the  cytochrome p450 CYP74 gene family that functions as an allene oxide synthase. This enzyme catalyzes dehydration of the hydroperoxide to an unstable allene oxide in the JA biosynthetic pathway. It shows a dual catalytic activity, the major one being a 13-AOS but also expressing a 9-AOS activity.",Plastid,GFP,16414959
AT5G26030,FC1,"encodes ferrochelatase I located in plastids. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins",Plastid,GFP,21565502
AT2G21170,"pdTPI / TIM","Encodes a plastidic triose phosphate isomerase. Mutants with reduced pdTPI levels have difficulty transitioning from heterotrophic to autotrophic growth. The related phenotypes, such as chlorosis in light-grown seedlings may result from an accumulation of dihydroxyacetone phosphate (DHAP) and methylglyoxal (MG) in these mutants. Both splice variants appear to be expressed, but the At2g21170.2 variant appears to have a much narrower expression range limited to roots.",Plastid,GFP,20097871
AT3G23400,FIB4,"Encodes FIBRILLIN 4 (FIB4). The fibrillins are a large family of chloroplast proteins that have been linked with stress tolerance and disease resistance. FIBRILLIN 4 is required for plastoglobule development and stress resistance.",Plastid,GFP,16414959
