UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
O55126,NIPS2_MOUSE,Protein NipSnap homolog 2 OS=Mus musculus GN=Gbas PE=2 SV=1 - [NIPS2_MOUSE],8,6,11,9,0.001,0.017,0.018,0.012,0.038,0.086,0.213,0.298,0.028,0.288,0.004,0.018,0.020,0.027,0.033,0.099,0.352,0.266,0.044,0.137,unknown,Mitochondrion,unknown,unknown,Mitochondrion,0.986,Mitochondrion,Mitochondrion,N,,,,,,,,,
O70311,NMT2_MOUSE,Glycylpeptide N-tetradecanoyltransferase 2 OS=Mus musculus GN=Nmt2 PE=1 SV=1 - [NMT2_MOUSE],8,11,11,16,0.186,0.056,0.053,0.029,0.045,0.053,0.053,0.113,0.063,0.350,0.096,0.037,0.047,0.042,0.044,0.049,0.053,0.040,0.053,0.539,unknown,Phenotype 10,unknown,unknown,40S Ribosome,0.228,unclassified,unclassified,N,,,,,,,,,
O70572,NSMA_MOUSE,Sphingomyelin phosphodiesterase 2 OS=Mus musculus GN=Smpd2 PE=1 SV=1 - [NSMA_MOUSE],8,7,11,10,0.006,0.068,0.072,0.067,0.153,0.233,0.127,0.137,0.012,0.125,0.006,0.069,0.094,0.139,0.215,0.223,0.147,0.068,0.013,0.026,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.903,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Y,,,,,,,,,
O88508,DNM3A_MOUSE,DNA (cytosine-5)-methyltransferase 3A OS=Mus musculus GN=Dnmt3a PE=1 SV=2 - [DNM3A_MOUSE],8,5,11,7,0.080,0.000,0.004,0.000,0.006,0.019,0.068,0.296,0.267,0.260,0.100,0.011,0.018,0.011,0.021,0.026,0.095,0.142,0.487,0.088,unknown,Phenotype 1,unknown,unknown,Nucleus - Chromatin,0.894,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,,
P08228,SODC_MOUSE,Superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod1 PE=1 SV=2 - [SODC_MOUSE],8,9,11,13,0.271,0.133,0.138,0.099,0.161,0.090,0.031,0.039,0.005,0.033,0.210,0.118,0.149,0.138,0.188,0.084,0.068,0.023,0.008,0.015,unknown,unknown,unknown,unknown,Cytosol,0.204,unclassified,unclassified,N,,,,,,,,,
P12265,BGLR_MOUSE,Beta-glucuronidase OS=Mus musculus GN=Gusb PE=2 SV=2 - [BGLR_MOUSE],8,7,11,9,0.003,0.111,0.205,0.149,0.329,0.149,0.033,0.015,0.000,0.006,0.008,0.081,0.122,0.186,0.284,0.175,0.085,0.026,0.011,0.022,unknown,unknown,unknown,unknown,Lysosome,0.803,Lysosome,Lysosome,N,,,,,,,,,
P14901,HMOX1_MOUSE,Heme oxygenase 1 OS=Mus musculus GN=Hmox1 PE=1 SV=1 - [HMOX1_MOUSE],8,6,11,10,0.016,0.083,0.072,0.039,0.134,0.179,0.118,0.179,0.016,0.164,0.013,0.080,0.090,0.128,0.181,0.199,0.148,0.102,0.023,0.036,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.919,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
P54775,PRS6B_MOUSE,26S protease regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2 - [PRS6B_MOUSE],8,10,11,18,0.620,0.088,0.087,0.023,0.044,0.031,0.020,0.027,0.020,0.039,0.516,0.075,0.097,0.077,0.068,0.055,0.029,0.019,0.020,0.046,Proteasome,Proteasome,Proteasome,Proteasome,Proteasome,1.000,Proteasome,Proteasome,N,,,,,,,,,
P56546,CTBP2_MOUSE,C-terminal-binding protein 2 OS=Mus musculus GN=Ctbp2 PE=1 SV=2 - [CTBP2_MOUSE],8,6,11,8,0.361,0.031,0.042,0.009,0.027,0.025,0.044,0.156,0.158,0.146,0.362,0.028,0.048,0.026,0.029,0.028,0.052,0.061,0.234,0.134,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.384,unclassified,unclassified,N,,,,,,Prey,,,
Q00547,HMMR_MOUSE,Hyaluronan mediated motility receptor OS=Mus musculus GN=Hmmr PE=1 SV=4 - [HMMR_MOUSE],8,18,11,21,0.255,0.046,0.052,0.025,0.039,0.084,0.089,0.113,0.138,0.158,0.178,0.054,0.071,0.060,0.061,0.096,0.076,0.059,0.148,0.197,unknown,unknown,unknown,unknown,60S Ribosome,0.521,60S Ribosome,unclassified,N,,,,,,,,,
Q3TIX9,SNUT2_MOUSE,U4/U6.U5 tri-snRNP-associated protein 2 OS=Mus musculus GN=Usp39 PE=2 SV=2 - [SNUT2_MOUSE],8,10,11,12,0.236,0.016,0.026,0.006,0.015,0.023,0.057,0.125,0.274,0.221,0.180,0.012,0.042,0.027,0.033,0.040,0.050,0.066,0.265,0.285,unknown,Phenotype 2,unknown,unknown,Nucleus - Non-chromatin,0.882,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,Small nuclear ribonucleic particles (snRNP),,,,,
Q60738,ZNT1_MOUSE,Zinc transporter 1 OS=Mus musculus GN=Slc30a1 PE=2 SV=1 - [ZNT1_MOUSE],8,10,11,12,0.000,0.201,0.135,0.110,0.215,0.155,0.098,0.056,0.003,0.028,0.006,0.175,0.124,0.137,0.197,0.181,0.130,0.031,0.010,0.009,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.677,unclassified,Plasma membrane,N,,,,,,,,,
Q61578,ADRO_MOUSE,"NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Mus musculus GN=Fdxr PE=2 SV=1 - [ADRO_MOUSE]",8,8,11,10,0.007,0.019,0.019,0.015,0.029,0.094,0.310,0.266,0.022,0.219,0.014,0.022,0.020,0.025,0.044,0.096,0.380,0.219,0.040,0.139,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q6NVG5,MREG_MOUSE,Melanoregulin OS=Mus musculus GN=Mreg PE=1 SV=1 - [MREG_MOUSE],8,9,11,12,0.002,0.093,0.173,0.153,0.380,0.109,0.034,0.028,0.009,0.019,0.005,0.114,0.144,0.205,0.265,0.144,0.072,0.029,0.013,0.009,unknown,unknown,unknown,unknown,Lysosome,0.693,unclassified,unclassified,N,,,,,,,,,High Confidence
Q6P8X1,SNX6_MOUSE,Sorting nexin-6 OS=Mus musculus GN=Snx6 PE=1 SV=2 - [SNX6_MOUSE],8,7,11,10,0.231,0.098,0.099,0.067,0.173,0.121,0.050,0.072,0.020,0.068,0.181,0.088,0.093,0.130,0.190,0.171,0.051,0.032,0.024,0.040,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.255,unclassified,unclassified,N,,,,,,,,,
Q8BGT5,ALAT2_MOUSE,Alanine aminotransferase 2 OS=Mus musculus GN=Gpt2 PE=2 SV=1 - [ALAT2_MOUSE],8,15,11,20,0.001,0.015,0.017,0.010,0.032,0.082,0.184,0.346,0.000,0.313,0.004,0.012,0.014,0.020,0.034,0.092,0.423,0.235,0.022,0.144,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q8BTW9,PAK4_MOUSE,Serine/threonine-protein kinase PAK 4 OS=Mus musculus GN=Pak4 PE=1 SV=1 - [PAK4_MOUSE],8,9,11,10,0.078,0.222,0.146,0.082,0.121,0.096,0.061,0.078,0.038,0.078,0.076,0.152,0.100,0.106,0.124,0.108,0.107,0.052,0.077,0.097,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.266,unclassified,unclassified,Y,,,,,,,,,
Q8R035,ICT1_MOUSE,"Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Mus musculus GN=Ict1 PE=1 SV=1 - [ICT1_MOUSE]",8,7,11,10,0.010,0.022,0.018,0.009,0.036,0.076,0.219,0.277,0.064,0.268,0.019,0.013,0.015,0.024,0.029,0.101,0.321,0.272,0.072,0.135,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q8VEJ4,NLE1_MOUSE,Notchless protein homolog 1 OS=Mus musculus GN=Nle1 PE=2 SV=4 - [NLE1_MOUSE],8,6,11,8,0.264,0.070,0.078,0.025,0.032,0.044,0.059,0.089,0.196,0.144,0.203,0.051,0.069,0.053,0.054,0.061,0.054,0.058,0.200,0.198,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.299,unclassified,unclassified,N,,,,,,,,,
Q921J2,RHEB_MOUSE,GTP-binding protein Rheb OS=Mus musculus GN=Rheb PE=1 SV=1 - [RHEB_MOUSE],8,7,11,10,0.120,0.282,0.158,0.104,0.117,0.088,0.044,0.043,0.000,0.045,0.138,0.132,0.175,0.151,0.138,0.101,0.065,0.062,0.012,0.027,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.572,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,
Q99L04,DHRS1_MOUSE,Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=2 SV=1 - [DHRS1_MOUSE],8,13,11,17,0.000,0.050,0.053,0.040,0.099,0.158,0.177,0.229,0.007,0.185,0.008,0.046,0.062,0.101,0.141,0.192,0.195,0.149,0.018,0.090,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.682,unclassified,unclassified,N,,,,,,,,,
Q99LI5,ZN281_MOUSE,Zinc finger protein 281 OS=Mus musculus GN=Znf281 PE=1 SV=1 - [ZN281_MOUSE],8,8,11,9,0.152,0.016,0.020,0.000,0.022,0.044,0.078,0.141,0.388,0.140,0.127,0.012,0.024,0.022,0.025,0.045,0.061,0.085,0.427,0.173,unknown,Phenotype 2,unknown,unknown,Nucleus - Non-chromatin,0.815,unclassified,Nucleus - Non-chromatin,N,,,,,,,Prey,,
Q99LJ1,FUCO_MOUSE,Tissue alpha-L-fucosidase OS=Mus musculus GN=Fuca1 PE=2 SV=1 - [FUCO_MOUSE],8,6,11,9,0.000,0.069,0.161,0.144,0.350,0.170,0.041,0.039,0.000,0.025,0.004,0.070,0.150,0.214,0.280,0.192,0.061,0.024,0.000,0.004,unknown,unknown,unknown,unknown,Lysosome,0.879,Lysosome,Lysosome,N,,,,,,,,,
Q9CX86,ROA0_MOUSE,Heterogeneous nuclear ribonucleoprotein A0 OS=Mus musculus GN=Hnrnpa0 PE=1 SV=1 - [ROA0_MOUSE],8,8,11,10,0.234,0.018,0.029,0.011,0.027,0.034,0.040,0.073,0.419,0.115,0.145,0.020,0.028,0.018,0.030,0.034,0.055,0.031,0.441,0.197,unknown,Phenotype 2,unknown,unknown,Nucleus - Non-chromatin,0.900,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q9D1H8,RM53_MOUSE,"39S ribosomal protein L53, mitochondrial OS=Mus musculus GN=Mrpl53 PE=2 SV=1 - [RM53_MOUSE]",8,5,11,6,0.000,0.012,0.014,0.005,0.029,0.076,0.186,0.337,0.054,0.287,0.002,0.012,0.012,0.015,0.027,0.077,0.414,0.234,0.065,0.142,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9D620,RFIP1_MOUSE,Rab11 family-interacting protein 1 OS=Mus musculus GN=Rab11fip1 PE=1 SV=2 - [RFIP1_MOUSE],8,7,11,11,0.019,0.074,0.153,0.091,0.184,0.106,0.099,0.139,0.009,0.127,0.011,0.044,0.108,0.212,0.281,0.145,0.100,0.054,0.017,0.028,unknown,unknown,unknown,unknown,Extracellular matrix,0.254,unclassified,unclassified,N,,,,,,,,,
Q9R1P4,PSA1_MOUSE,Proteasome subunit alpha type-1 OS=Mus musculus GN=Psma1 PE=1 SV=1 - [PSA1_MOUSE],8,13,11,25,0.618,0.071,0.089,0.036,0.054,0.036,0.017,0.028,0.015,0.036,0.450,0.102,0.110,0.078,0.092,0.055,0.035,0.017,0.017,0.045,Proteasome,Proteasome,Proteasome,Proteasome,Proteasome,1.000,Proteasome,Proteasome,N,,,,,,,,,
Q9WU79,PROD_MOUSE,"Proline dehydrogenase 1, mitochondrial OS=Mus musculus GN=Prodh PE=2 SV=2 - [PROD_MOUSE]",8,14,11,20,0.000,0.010,0.009,0.010,0.029,0.100,0.314,0.266,0.009,0.254,0.001,0.014,0.015,0.021,0.035,0.109,0.419,0.236,0.015,0.134,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9Z1M8,RED_MOUSE,Protein Red OS=Mus musculus GN=Ik PE=2 SV=2 - [RED_MOUSE],8,14,11,19,0.180,0.019,0.037,0.008,0.015,0.023,0.046,0.102,0.331,0.239,0.138,0.014,0.025,0.022,0.022,0.034,0.040,0.044,0.282,0.379,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.884,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
A2A8Z1,OSBL9_MOUSE,Oxysterol-binding protein-related protein 9 OS=Mus musculus GN=Osbpl9 PE=1 SV=1 - [OSBL9_MOUSE],8,10,10,13,0.234,0.127,0.098,0.078,0.163,0.083,0.045,0.099,0.000,0.074,0.094,0.080,0.125,0.193,0.206,0.157,0.069,0.041,0.013,0.023,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.174,unclassified,unclassified,N,,,,,,,,,
O70492,SNX3_MOUSE,Sorting nexin-3 OS=Mus musculus GN=Snx3 PE=1 SV=3 - [SNX3_MOUSE],8,6,10,8,0.086,0.056,0.101,0.101,0.362,0.145,0.046,0.053,0.016,0.034,0.070,0.041,0.054,0.126,0.345,0.203,0.086,0.027,0.017,0.031,unknown,unknown,unknown,unknown,Endosome,0.538,Endosome,Endosome,N,,,,,,,,,
P07214,SPRC_MOUSE,SPARC OS=Mus musculus GN=Sparc PE=1 SV=1 - [SPRC_MOUSE],8,6,10,6,0.012,0.069,0.161,0.095,0.195,0.200,0.088,0.092,0.005,0.083,0.012,0.056,0.112,0.200,0.209,0.210,0.122,0.055,0.007,0.017,unknown,unknown,unknown,Extracellular matrix,Extracellular matrix,1.000,Extracellular matrix,Extracellular matrix,N,,,,,,,,,
P39061-2,COIA1_MOUSE,Isoform 3 of Collagen alpha-1(XVIII) chain OS=Mus musculus GN=Col18a1 - [COIA1_MOUSE],8,8,10,10,0.030,0.042,0.116,0.074,0.172,0.206,0.100,0.131,0.014,0.115,0.008,0.050,0.071,0.117,0.197,0.201,0.212,0.078,0.031,0.035,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Extracellular matrix,0.580,Extracellular matrix,Extracellular matrix,N,,,,,,,,,
P62264,RS14_MOUSE,40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=2 SV=3 - [RS14_MOUSE],8,8,10,12,0.351,0.047,0.060,0.021,0.055,0.054,0.054,0.088,0.076,0.194,0.197,0.050,0.061,0.057,0.047,0.063,0.062,0.039,0.094,0.331,40S Ribosome,40S Ribosome,40S Ribosome,40S Ribosome,40S Ribosome,1.000,40S Ribosome,40S Ribosome,N,,,,,,,,,
Q01405,SC23A_MOUSE,Protein transport protein Sec23A OS=Mus musculus GN=Sec23a PE=1 SV=2 - [SC23A_MOUSE],8,16,10,20,0.070,0.098,0.086,0.061,0.146,0.096,0.066,0.163,0.030,0.183,0.053,0.073,0.066,0.092,0.151,0.148,0.126,0.066,0.054,0.171,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.283,unclassified,unclassified,N,Vesicles - COP II,,,,,,,,High Confidence
Q06335-2,APLP2_MOUSE,Isoform 2 of Amyloid-like protein 2 OS=Mus musculus GN=Aplp2 - [APLP2_MOUSE],8,11,10,14,0.000,0.065,0.151,0.122,0.217,0.166,0.093,0.092,0.016,0.078,0.004,0.059,0.100,0.204,0.292,0.186,0.095,0.040,0.009,0.012,unknown,unknown,unknown,unknown,Lysosome,0.316,unclassified,unclassified,N,,,,,,,,,
Q07076,ANXA7_MOUSE,Annexin A7 OS=Mus musculus GN=Anxa7 PE=2 SV=2 - [ANXA7_MOUSE],8,8,10,8,0.358,0.111,0.158,0.068,0.120,0.067,0.034,0.038,0.010,0.035,0.392,0.109,0.104,0.096,0.110,0.063,0.052,0.023,0.017,0.033,unknown,unknown,unknown,unknown,Cytosol,0.741,unclassified,Cytosol,N,,,,,,,,,
Q3TW96,UAP1L_MOUSE,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus GN=Uap1l1 PE=2 SV=1 - [UAP1L_MOUSE],8,12,10,16,0.483,0.156,0.149,0.054,0.084,0.037,0.014,0.009,0.004,0.010,0.443,0.106,0.121,0.099,0.113,0.050,0.032,0.012,0.012,0.012,unknown,Phenotype 5,unknown,unknown,Cytosol,0.904,Cytosol,Cytosol,Y,,,,,,,,,
Q3UL36,ARGL1_MOUSE,Arginine and glutamate-rich protein 1 OS=Mus musculus GN=Arglu1 PE=1 SV=2 - [ARGL1_MOUSE],8,9,10,9,0.141,0.034,0.064,0.025,0.045,0.058,0.071,0.118,0.213,0.231,0.102,0.023,0.039,0.035,0.041,0.041,0.059,0.042,0.249,0.368,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.559,unclassified,unclassified,Y,,,,,,,,,
Q3UM45,PP1R7_MOUSE,Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus GN=Ppp1r7 PE=1 SV=2 - [PP1R7_MOUSE],8,11,10,13,0.528,0.114,0.086,0.051,0.068,0.040,0.028,0.034,0.024,0.027,0.453,0.097,0.116,0.095,0.097,0.060,0.037,0.012,0.021,0.012,unknown,Phenotype 5,unknown,unknown,Cytosol,0.758,unclassified,Cytosol,N,,,,,,,,,
Q60676,PPP5_MOUSE,Serine/threonine-protein phosphatase 5 OS=Mus musculus GN=Ppp5c PE=2 SV=2 - [PPP5_MOUSE],8,15,10,20,0.485,0.139,0.113,0.062,0.066,0.047,0.017,0.029,0.013,0.027,0.375,0.116,0.137,0.107,0.105,0.072,0.031,0.018,0.015,0.024,unknown,Phenotype 5,unknown,unknown,Cytosol,0.862,Cytosol,Cytosol,N,,,,,,,,,
Q60751,IGF1R_MOUSE,Insulin-like growth factor 1 receptor OS=Mus musculus GN=Igf1r PE=1 SV=3 - [IGF1R_MOUSE],8,14,10,18,0.000,0.306,0.212,0.126,0.151,0.104,0.039,0.040,0.000,0.023,0.002,0.194,0.164,0.180,0.178,0.161,0.081,0.029,0.006,0.006,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.909,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q61164,CTCF_MOUSE,Transcriptional repressor CTCF OS=Mus musculus GN=Ctcf PE=1 SV=2 - [CTCF_MOUSE],8,10,10,14,0.020,0.004,0.007,0.000,0.007,0.022,0.102,0.297,0.293,0.248,0.033,0.011,0.009,0.012,0.020,0.044,0.115,0.190,0.480,0.086,unknown,Phenotype 1,unknown,unknown,Nucleus - Chromatin,0.893,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,,
Q8BP92,RCN2_MOUSE,Reticulocalbin-2 OS=Mus musculus GN=Rcn2 PE=2 SV=1 - [RCN2_MOUSE],8,10,10,24,0.013,0.034,0.074,0.042,0.149,0.249,0.139,0.165,0.010,0.126,0.012,0.050,0.088,0.126,0.189,0.265,0.160,0.082,0.010,0.018,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.963,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,High Confidence
Q8CFA2,GCST_MOUSE,"Aminomethyltransferase, mitochondrial OS=Mus musculus GN=Amt PE=2 SV=1 - [GCST_MOUSE]",8,8,10,15,0.007,0.032,0.029,0.014,0.044,0.095,0.186,0.278,0.035,0.281,0.002,0.006,0.013,0.023,0.031,0.089,0.385,0.245,0.067,0.139,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q8R2U0-2,SEH1_MOUSE,Isoform 2 of Nucleoporin SEH1 OS=Mus musculus GN=Seh1l - [SEH1_MOUSE],8,7,10,12,0.126,0.105,0.079,0.043,0.059,0.046,0.037,0.096,0.303,0.106,0.106,0.069,0.076,0.076,0.090,0.072,0.052,0.032,0.313,0.113,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.328,unclassified,unclassified,N,,,,,,,,,
Q8R5M8-4,CADM1_MOUSE,Isoform 4 of Cell adhesion molecule 1 OS=Mus musculus GN=Cadm1 - [CADM1_MOUSE],8,9,10,11,0.000,0.360,0.182,0.122,0.160,0.089,0.045,0.020,0.006,0.016,0.002,0.216,0.144,0.202,0.202,0.137,0.071,0.020,0.003,0.003,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.872,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q8VDZ4,ZDHC5_MOUSE,Palmitoyltransferase ZDHHC5 OS=Mus musculus GN=Zdhhc5 PE=1 SV=1 - [ZDHC5_MOUSE],8,8,10,11,0.001,0.310,0.218,0.112,0.137,0.113,0.045,0.028,0.018,0.017,0.003,0.199,0.161,0.148,0.177,0.154,0.104,0.026,0.021,0.006,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.875,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q8VE70,PDC10_MOUSE,Programmed cell death protein 10 OS=Mus musculus GN=Pdcd10 PE=1 SV=1 - [PDC10_MOUSE],8,6,10,9,0.071,0.267,0.161,0.108,0.139,0.081,0.038,0.070,0.014,0.051,0.073,0.180,0.145,0.181,0.158,0.093,0.060,0.030,0.042,0.037,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.589,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,High Confidence
Q91YH5,ATLA3_MOUSE,Atlastin-3 OS=Mus musculus GN=Atl3 PE=2 SV=1 - [ATLA3_MOUSE],8,14,10,19,0.002,0.040,0.059,0.044,0.193,0.203,0.107,0.183,0.010,0.160,0.005,0.059,0.084,0.145,0.235,0.232,0.139,0.071,0.009,0.022,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.939,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q99JW2,ACY1_MOUSE,Aminoacylase-1 OS=Mus musculus GN=Acy1 PE=1 SV=1 - [ACY1_MOUSE],8,10,10,12,0.511,0.155,0.120,0.049,0.062,0.036,0.025,0.013,0.009,0.019,0.455,0.102,0.116,0.086,0.108,0.066,0.031,0.012,0.011,0.011,unknown,Phenotype 5,unknown,unknown,Cytosol,0.892,Cytosol,Cytosol,Y,,,,,,,,,
Q99KK9,SYHM_MOUSE,"Probable histidine--tRNA ligase, mitochondrial OS=Mus musculus GN=Hars2 PE=2 SV=1 - [SYHM_MOUSE]",8,9,10,9,0.005,0.014,0.015,0.015,0.045,0.102,0.297,0.254,0.016,0.239,0.004,0.013,0.017,0.020,0.031,0.100,0.411,0.235,0.029,0.140,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,Mitochondrial tRNA ligase,,,,,
Q99N94,RM09_MOUSE,"39S ribosomal protein L9, mitochondrial OS=Mus musculus GN=Mrpl9 PE=2 SV=2 - [RM09_MOUSE]",8,7,10,9,0.000,0.014,0.014,0.011,0.031,0.073,0.169,0.350,0.051,0.286,0.010,0.020,0.015,0.022,0.040,0.093,0.359,0.230,0.065,0.143,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9CYR6,AGM1_MOUSE,Phosphoacetylglucosamine mutase OS=Mus musculus GN=Pgm3 PE=1 SV=1 - [AGM1_MOUSE],8,9,10,12,0.611,0.131,0.119,0.041,0.056,0.024,0.006,0.006,0.000,0.006,0.462,0.097,0.119,0.092,0.112,0.061,0.027,0.012,0.006,0.011,unknown,Phenotype 5,unknown,unknown,Cytosol,0.825,Cytosol,Cytosol,N,,,,,,,,,
Q9D0M1,KPRA_MOUSE,Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Mus musculus GN=Prpsap1 PE=1 SV=1 - [KPRA_MOUSE],8,8,10,12,0.482,0.173,0.115,0.051,0.048,0.035,0.014,0.031,0.004,0.046,0.341,0.121,0.105,0.095,0.094,0.070,0.041,0.028,0.025,0.079,unknown,unknown,unknown,unknown,Cytosol,0.681,unclassified,Cytosol,Y,,,,,,,,,
Q9JKK1,STX6_MOUSE,Syntaxin-6 OS=Mus musculus GN=Stx6 PE=1 SV=1 - [STX6_MOUSE],8,6,10,7,0.003,0.048,0.099,0.111,0.431,0.168,0.057,0.056,0.000,0.028,0.018,0.058,0.089,0.155,0.292,0.208,0.105,0.037,0.019,0.019,unknown,unknown,unknown,unknown,Endosome,0.608,Endosome,Endosome,N,,,,,,,,,
Q9QX47-3,SON_MOUSE,Isoform 3 of Protein SON OS=Mus musculus GN=Son - [SON_MOUSE],8,19,10,24,0.148,0.002,0.017,0.006,0.012,0.023,0.037,0.158,0.364,0.234,0.098,0.011,0.018,0.020,0.023,0.041,0.047,0.051,0.377,0.313,unknown,Phenotype 2,unknown,unknown,Nucleus - Non-chromatin,0.928,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q9QYC0,ADDA_MOUSE,Alpha-adducin OS=Mus musculus GN=Add1 PE=1 SV=2 - [ADDA_MOUSE],8,12,10,15,0.097,0.116,0.073,0.029,0.078,0.133,0.115,0.135,0.111,0.113,0.057,0.058,0.065,0.062,0.085,0.193,0.199,0.087,0.120,0.075,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.378,unclassified,unclassified,N,,,,,,,,,
Q9WUK2,IF4H_MOUSE,Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3 - [IF4H_MOUSE],8,8,10,12,0.514,0.047,0.077,0.028,0.036,0.031,0.043,0.079,0.079,0.067,0.353,0.074,0.093,0.056,0.082,0.048,0.048,0.037,0.104,0.106,unknown,unknown,unknown,unknown,Proteasome,0.448,unclassified,unclassified,N,,,,,,,,,
Q9Z1D1,EIF3G_MOUSE,Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus GN=Eif3g PE=1 SV=2 - [EIF3G_MOUSE],8,11,10,17,0.582,0.053,0.071,0.027,0.034,0.041,0.030,0.040,0.039,0.083,0.413,0.063,0.088,0.060,0.058,0.054,0.032,0.022,0.037,0.174,unknown,unknown,unknown,unknown,Proteasome,0.447,unclassified,unclassified,N,,,,eIF3 complex,,,,,
