Lead gene name,Lead ID,Protein names,Majority protein IDs,Organellar markers,Profiled in how many +EGF Maps,Log2 Ratio H/L EGF1_03K,Log2 Ratio H/L EGF1_06K,Log2 Ratio H/L EGF1_12K,Log2 Ratio H/L EGF1_24K,Log2 Ratio H/L EGF1_80K,Log2 Ratio H/L EGF2_03K,Log2 Ratio H/L EGF2_06K,Log2 Ratio H/L EGF2_12K,Log2 Ratio H/L EGF2_24K,Log2 Ratio H/L EGF2_80K,Log2 Ratio H/L EGF3_03K,Log2 Ratio H/L EGF3_06K,Log2 Ratio H/L EGF3_12K,Log2 Ratio H/L EGF3_24K,Log2 Ratio H/L EGF3_80K
CD99,P14209,CD99 antigen,P14209;P14209-3;P14209-2,Plasma membrane,3,-0.726472175,-0.531593936,-0.651767581,0.446573853,2.128062393,-0.379469891,-0.334461693,-0.187099314,0.821955065,2.385210129,-0.32100867,-0.643247681,-0.571707504,0.445302942,1.891885751
CD99L2,Q8TCZ2,CD99 antigen-like protein 2,Q8TCZ2;Q8TCZ2-3;Q8TCZ2-2;Q8TCZ2-5;Q8TCZ2-6,,2,-0.700778791,-0.69555905,-0.362213572,0.732920382,2.097846732,,,,,,-0.39333037,-0.660132899,-0.348555605,0.477159211,2.216889393
CDC123,O75794,Cell division cycle protein 123 homolog,O75794,,2,0.097745622,0.75890009,-0.449808547,-0.917106699,-1.026704664,0.21971064,0.809167457,-0.123653977,-0.94777889,-1.239123335,,,,,
CDC20,Q12834,Cell division cycle protein 20 homolog,Q12834,,2,1.218781168,1.266036894,-0.100051014,-0.781826411,-0.685454276,1.019346089,1.304919845,-0.125494159,-0.98350368,-1.06818081,,,,,
CDC37,Q16543,Hsp90 co-chaperone Cdc37,Q16543,,3,-1.024589921,-0.829895474,-0.959570428,-0.771298269,-0.141875737,-0.759991035,-0.737326313,-0.747899268,-0.760381996,0.10514166,-0.600380441,-0.700684997,-0.933821236,-0.701318226,-0.061736795
CDC40,O60508,Pre-mRNA-processing factor 17,O60508,,2,0.602646909,1.490826815,-0.208427614,-1.032595267,-1.656671777,,,,,,0.249627373,1.189413431,0.735695464,-0.993982103,-1.526659861
CDC42,P60953,Cell division control protein 42 homolog,P60953;P60953-1,,3,-0.638590956,-0.522384837,-0.251985385,0.621336886,1.659102536,-0.342945422,-0.354796385,0.055473336,0.689030727,1.728617135,-0.276240502,-0.518494383,-0.208827732,0.479127064,1.429535626
CDC42BPA,Q5VT25,Serine/threonine-protein kinase MRCK alpha,Q5VT25;Q5VT25-4;Q5VT25-5;Q5VT25-2;Q5VT25-6;Q5VT25-3,,3,0.446467986,0.182310918,0.10648233,-0.049412144,-0.648597816,0.210139457,0.157561176,0.093830572,0.021337583,-0.672956532,0.255682003,0.119688175,-0.210946877,0.065158675,-0.334097918
CDC42BPB,Q9Y5S2,Serine/threonine-protein kinase MRCK beta,Q9Y5S2,,3,0.410558198,0.246347277,-0.06202292,-0.195962967,-0.502382525,0.433600463,0.588228909,0.203138497,-0.31855973,-1.017884398,0.379953597,0.372283513,-0.101551702,-0.36453348,-1.264027322
CDC42EP1,Q00587,Cdc42 effector protein 1,Q00587;Q00587-2,,2,,,,,,-0.743230857,-0.222515056,0.253989266,1.069839625,1.957506056,-0.95452907,-0.748020413,-0.130981437,0.473527177,1.352984458
CDC42EP4,Q9H3Q1,Cdc42 effector protein 4,Q9H3Q1;Q9H3Q1-2,,3,-0.371217075,0.028993412,-0.626869665,-0.578607022,0.198242682,-0.268312772,0.169027045,-0.226729423,-0.355848377,0.060047384,-0.53186507,-0.183965605,-0.145621281,0.000432744,0.527270557
CDC5L,Q99459,Cell division cycle 5-like protein,Q99459,,3,0.504976256,1.372227783,-0.414787454,-1.474973511,-1.833053228,0.952557223,2.054327554,0.27643711,-0.965277176,-1.382663898,0.665301804,1.734221866,-0.025984716,-1.27756895,-1.798918232
CDC73,Q6P1J9,Parafibromin,Q6P1J9,,2,-0.328724746,0.47019844,-0.43602189,-1.226003675,-1.021247905,-0.125698769,1.018135625,-0.184736096,-1.041476516,-1.044746721,,,,,
CDCA3,Q99618,Cell division cycle-associated protein 3,Q99618,,3,-0.699513084,-0.509060258,-0.112069272,0.766128675,1.826640003,-0.623554019,-0.384207069,0.211510663,0.727267011,1.705225957,-0.573831876,-0.823830442,-0.130855058,0.668845283,1.344771697
CDH10,Q9Y6N8,Cadherin-10,Q9Y6N8,Plasma membrane,1,,,,,,,,,,,-0.282719499,-0.292068873,-0.054227512,0.746484762,3.663344619
CDK1,P06493,Cyclin-dependent kinase 1,P06493;P06493-2,,3,-0.11130545,0.192572941,-0.335007528,-0.467613214,-0.339454668,-0.076036977,0.209266193,-0.284791908,-0.599833722,-0.367824865,-0.38059638,-0.282508912,-0.657650068,-0.832667766,-0.917106699
CDK12,Q9NYV4,Cyclin-dependent kinase 12,Q9NYV4;Q9NYV4-2;Q9NYV4-3,,3,0.1264443,1.465190888,-0.210379242,-1.222599222,-1.640613772,1.670115181,1.745753641,0.05963216,-1.110604338,-1.545024002,0.172231469,0.73135705,-0.315073569,-1.140253033,-2.023269779
CDK2,P24941,Cyclin-dependent kinase 2,P24941;P24941-2,,3,-0.278181148,0.293252756,-0.235976632,-0.4042863,-0.223070647,-0.0046385,0.206018004,-0.056176169,-0.572200766,-0.436919987,-0.403770878,-0.308715983,-0.545234513,-0.873582133,-0.897032873
CDK5,Q00535,Cyclin-dependent-like kinase 5,Q00535;Q00535-2,,1,,,,,,,,,,,-0.296846131,-0.540316587,-0.350688056,-0.462455428,0.32964029
CDK5RAP3,Q96JB5,CDK5 regulatory subunit-associated protein 3,Q96JB5;Q96JB5-4;Q96JB5-2,,3,0.322735778,-0.720849669,-0.762240509,1.013140632,2.696483534,0.329869872,-0.616591534,-0.473410309,1.272381578,2.942927315,0.728399459,-0.626580077,-0.660155697,1.133563526,2.998484374
CDK7,P50613,Cyclin-dependent kinase 7,P50613,,3,-0.241782116,0.274052884,-0.014208146,-0.600096121,-0.813727655,0.00273852,0.426103701,0.42921423,-0.287800437,-0.603095238,-0.495166079,0.169283661,-0.155887565,-0.463111574,-1.128629444
CDKAL1,Q5VV42,Threonylcarbamoyladenosine tRNA methylthiotransferase,Q5VV42;Q5VV42-2,,3,0.254835883,-0.792681843,-0.706723697,1.176195095,2.949871056,0.324234562,-0.697640001,-0.540757256,1.103598348,3.169556266,0.60539951,-0.713189806,-0.692734698,1.022119204,3.020626651
CDKN2A,P42771,Cyclin-dependent kinase inhibitor 2A,P42771;P42771-4;P42771-2,,2,-1.269651329,-0.917133942,-1.177098574,-1.311721152,-0.534662812,-1.690730663,-0.927798137,-1.397828209,-1.175044822,-0.81840126,,,,,
CDKN2AIP,Q9NXV6,CDKN2A-interacting protein,Q9NXV6,,3,0.354564999,1.424922088,-0.304202122,-1.275157673,-1.726328958,1.298892881,1.537296067,0.008486889,-1.193799696,-1.412961513,0.797345071,1.331647897,0.014069583,-1.051728095,-1.63025994
CDV3,Q9UKY7,Protein CDV3 homolog,Q9UKY7;Q9UKY7-2,,3,1.08004362,1.225521734,0.12498977,-0.628675333,-1.133907043,1.152507948,1.27625843,0.186880831,-0.7049353,-1.304718805,1.091530593,1.074505436,0.05630606,-0.841223509,-1.514573173
CECR5,Q9BXW7,Cat eye syndrome critical region protein 5,Q9BXW7;Q9BXW7-2,,3,-1.194525929,-0.56166456,2.811512132,2.039910433,6.923386916,-1.15636984,-0.804249259,3.154356373,4.986592967,6.203494835,-0.837583695,-0.429090243,3.33571191,2.621149304,5.153440564
CELF1,Q92879,CUGBP Elav-like family member 1,Q92879;Q92879-2;Q92879-3;Q92879-6;Q92879-5,,3,1.145025242,1.198179807,-0.288822301,-1.120607897,-1.131439654,1.477521912,1.34135959,0.020911066,-0.992373908,-0.983903097,1.466183346,1.379343707,0.029982866,-0.954920545,-1.02646954
CENPF,P49454,Centromere protein F,P49454,,3,0.349138777,0.131062617,0.181038924,-0.033525234,0.281431197,-0.050831156,0.119289768,0.247806018,-0.528927023,-0.176071333,-0.707948616,-0.375852303,-0.225565027,-0.587250986,-0.241713881
CEP170,Q5SW79,Centrosomal protein of 170 kDa,Q5SW79;Q5SW79-2;Q5SW79-3,,3,0.6992851,0.817213924,0.387141928,-0.632964484,-1.050711607,0.728486533,1.175428791,0.107420059,-0.773935445,-1.140602874,0.66101986,1.029134804,0.135666197,-0.981365826,-1.608540205
CEP55,Q53EZ4,Centrosomal protein of 55 kDa,Q53EZ4;Q53EZ4-2,,3,-0.185802347,1.183581791,0.342327173,-0.288751804,-0.432318272,-0.455217895,1.076901088,0.296075575,-0.537780118,-0.809018587,-0.468012267,-0.204931299,0.003890027,-0.829946765,-1.257493569
CEPT1,Q9Y6K0,Choline/ethanolaminephosphotransferase 1,Q9Y6K0,,3,0.168642036,-0.657035715,-0.669556332,0.992913418,2.494005914,0.269751322,-0.656740008,-0.648869238,1.336283388,1.709908171,0.660381035,-0.64140119,-0.493540232,0.101515615,-0.234634992
CERS2,Q96G23,Ceramide synthase 2,Q96G23,,3,0.242572021,-0.669946488,-0.773392828,0.956354085,3.271246374,0.449217992,-0.741083145,-0.487115769,1.292428393,2.511721033,0.519743173,-0.672703538,-0.607352856,1.210326517,3.128837774
CES3,Q6UWW8,Carboxylesterase 3,Q6UWW8,ER,1,,,,,,0.292899515,-0.674383325,-0.40291225,1.862431554,3.432024024,,,,,
CFL1,P23528,Cofilin-1,P23528,,3,-0.534850915,-0.605134693,-0.307394262,0.881273061,1.795351365,-0.534997234,-0.604191361,-0.141987166,0.737427183,2.0004688,-0.662528663,-0.888300928,-0.422037096,0.319386715,1.78249244
CFL2,Q9Y281,Cofilin-2,Q9Y281;Q9Y281-3,,3,-1.035224339,-0.783687937,-0.359119984,0.579469817,1.864295117,-0.634889809,-0.729243832,-0.024531223,0.563743877,1.275305094,-0.745913952,-0.915255379,-0.690544383,0.150299708,1.543050386
CHCHD2,Q9Y6H1,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2,Q9Y6H1;Q5T1J5,,3,-1.20533045,-0.157704977,1.303634645,0.853756176,0.78776677,-1.196508425,-0.37941359,1.556502989,0.953526,0.912419935,-1.506393652,-0.694834929,1.351458723,1.004249685,0.563451034
CHCHD3,Q9NX63,MICOS complex subunit MIC19,Q9NX63,Mitochondrion,3,-1.24376234,-0.680451428,2.871409986,4.777367109,5.190891363,-1.205796264,-0.699583372,3.339564998,4.725468513,0.920979227,-0.818070562,-0.370769293,3.459300459,5.039927974,5.530382926
CHCHD6,Q9BRQ6,MICOS complex subunit MIC25,Q9BRQ6,,1,,,,,,,,,,,-0.998039268,-0.40363728,3.030300761,1.528771332,1.296251818
CHD1L,Q86WJ1,Chromodomain-helicase-DNA-binding protein 1-like,Q86WJ1;Q86WJ1-2;Q86WJ1-4;Q86WJ1-3;Q86WJ1-5,,2,,,,,,-0.29580086,0.744849979,1.396762313,1.080725874,1.002810516,-1.070633164,-0.490962958,-0.060111477,0.641268561,1.239459146
CHD4,Q14839,Chromodomain-helicase-DNA-binding protein 4,Q14839;Q14839-2,,1,,,,,,,,,,,-2.038006323,-0.11312994,0.4760187,0.670659081,0.220949004
CHEK1,O14757,Serine/threonine-protein kinase Chk1,O14757;O14757-3;O14757-2,,2,1.118293271,0.851039386,0.012640181,-0.76228945,-0.689590073,1.215430102,1.162016633,0.077653186,-1.272506429,-0.946860853,,,,,
CHERP,Q8IWX8,Calcium homeostasis endoplasmic reticulum protein,Q8IWX8,,3,0.057831475,0.632640476,0.076285443,-1.262815133,-1.653128186,0.489645688,1.483519148,0.114233744,-0.761115334,-1.19475708,0.131194352,1.132445234,0.058247217,-0.916698115,-1.797914583
CHID1,Q9BWS9,Chitinase domain-containing protein 1,Q9BWS9;Q9BWS9-3;Q9BWS9-2,,3,0.340391357,-0.833798747,-0.691569223,1.21971064,2.782261772,0.232906301,-0.870044432,-0.384621372,1.340391357,2.771547572,0.535455799,-0.837815749,-0.534453838,0.930169608,2.290542363
CHMP1A,Q9HD42,Charged multivesicular body protein 1a,Q9HD42,,3,0.459221757,0.335483256,-0.545171356,-0.655898714,-0.182344001,0.397145797,0.205017088,-0.564883507,-0.494718789,-0.343714157,0.706198987,-0.292086538,-0.584025054,-0.538073366,-0.6331211
CHMP1B,Q7LBR1,Charged multivesicular body protein 1b,Q7LBR1,,3,0.685536541,0.601791584,-0.331735614,-0.597714408,-0.667950916,0.937344392,0.767061498,0.113300436,-0.602985671,-0.742747947,-0.586297611,0.389346536,-0.310164123,-0.324147945,-1.128850273
CHMP2A,O43633,Charged multivesicular body protein 2a,O43633,,3,0.227001675,0.328606717,-0.441987126,-0.384903919,-0.438209538,0.289480386,0.530070742,-0.457058535,-0.626513257,-0.713733902,0.43445476,0.08024833,-0.393595676,-0.541513,-0.947890207
CHMP2B,Q9UQN3,Charged multivesicular body protein 2b,Q9UQN3;Q9UQN3-2,,1,,,,,,-0.017095841,-0.010119849,0.047817548,-0.380558817,-0.278478594,,,,,
CHMP4B,Q9H444,Charged multivesicular body protein 4b,Q9H444,,3,-0.285741292,-0.542269141,-1.311864412,-0.281509044,0.811881996,-0.062640541,-0.40354186,-0.814742369,0.06253622,-0.214123074,-0.214574996,-0.493865255,-1.096159598,-0.612527166,-0.186032104
CHMP6,Q96FZ7,Charged multivesicular body protein 6,Q96FZ7,,1,,,,,,,,,,,-0.248673399,-0.611005975,-0.173107849,0.649109565,1.671474547
CHORDC1,Q9UHD1,Cysteine and histidine-rich domain-containing protein 1,Q9UHD1;Q9UHD1-2,,3,-1.248107862,-0.815503873,-1.156209064,-1.038836037,-0.606386108,-1.152548215,-0.670428592,-1.225666242,-1.176218037,-0.251951024,-0.734659127,-0.343110117,-0.858750337,-1.152163402,-0.273255958
CHP1,Q99653,Calcineurin B homologous protein 1,Q99653,,3,0.012497163,-0.540526413,-0.865963106,0.697506959,2.464276177,0.144699025,-0.632472371,-0.465101718,0.437334286,3.092816327,0.176578094,-0.6127257,-0.68176994,0.748632972,2.319213275
CHTF18,Q8WVB6-2,Chromosome transmission fidelity protein 18 homolog,Q8WVB6-2;Q8WVB6;Q8WVB6-3,,2,0.935987696,0.8131963,-0.301070353,-0.318343847,-1.043705397,1.356031095,1.269152867,0.00273852,-0.597190522,-1.053373931,,,,,
CHTOP,Q9Y3Y2,Chromatin target of PRMT1 protein,Q9Y3Y2;Q9Y3Y2-4;Q9Y3Y2-3,,1,1.274410769,2.150267209,0.005040617,-1.484832559,-1.962294482,,,,,,,,,,
CIAPIN1,Q6FI81,Anamorsin,Q6FI81;Q6FI81-3,,1,,,,,,,,,,,-0.114519346,-0.652311669,-0.850610551,-1.655171503,-0.05625117
CIRBP,Q14011,Cold-inducible RNA-binding protein,Q14011;Q14011-2,,3,1.193582525,1.161436266,-0.491510497,-1.463350246,-1.508772848,1.451224302,1.371056968,0.005615567,-1.019258102,-1.024707326,1.071007493,0.930699496,-0.549197847,-1.592353573,-1.866173473
CIRH1A,Q969X6,Cirhin,Q969X6;Q969X6-3;Q969X6-2,,2,-0.306769544,1.823912367,0.253142153,-0.489665916,-0.997031105,-0.236350475,1.749577172,0.292310588,-0.630572603,-1.156048306,,,,,
CISD1,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,Q9NZ45,Mitochondrion,3,-1.124062704,-0.678071905,2.120252395,3.906986772,5.394376945,-1.109919135,-0.740359917,2.423309237,4.189587384,5.081808291,-0.735932033,-0.411521611,2.738184157,4.512353322,4.944389962
CISD2,Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,Q8N5K1,,3,0.203890227,-0.684897547,-0.677541091,1.174086779,3.015604611,0.25664839,-0.678833849,-0.492951315,1.238970241,3.226446875,0.599889045,-0.555863043,-0.454466481,1.357270476,3.212444829
CISD3,P0C7P0,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",P0C7P0,,1,,,,,,,,,,,0.560812761,-0.170962311,0.506805024,-0.523400564,-1.563028005
CIT,O14578-4,Citron Rho-interacting kinase,O14578-4;O14578;O14578-3,,3,-0.624866014,1.008845403,0.412185359,-0.382080934,-0.43777956,-0.514861741,1.367594722,0.532865503,-0.276118206,-0.494251315,-0.987502837,0.528071165,0.064055064,-0.675811531,-1.026851637
CKAP2,Q8WWK9-5,Cytoskeleton-associated protein 2,Q8WWK9-5;Q8WWK9;Q8WWK9-6;Q8WWK9-4,,3,1.237257771,1.556944353,0.134878054,-0.533430302,-0.501851274,1.199311135,1.17037377,-0.10556636,-0.761677812,-0.820030418,0.470614952,0.657548548,-0.418812677,-0.640433851,-1.226780071
CKAP4,Q07065,Cytoskeleton-associated protein 4,Q07065,,3,0.278222698,-0.89204437,-0.7390831,1.624194497,4.475020012,0.364460374,-0.835290942,-0.42895428,1.904310675,4.467018572,0.644963754,-0.745260848,-0.599505789,1.693542713,4.460939103
CKAP5,Q14008,Cytoskeleton-associated protein 5,Q14008;Q14008-2;Q14008-3,,3,1.667846721,1.551442189,0.027295624,-0.793256766,-0.667034337,1.568080761,1.35168486,-0.197963989,-1.076067393,-1.062776151,1.202135581,0.892896124,-0.281929957,-1.092555516,-1.363345221
CKB,P12277,Creatine kinase B-type,P12277,,3,-1.392780963,-1.197136784,-1.412923097,-1.669005702,-1.018644158,-1.722848389,-1.259564572,-1.942639845,-1.875618923,-1.123056815,-1.210329167,-0.82561915,-1.231277875,-1.877526059,-0.673347609
CKMT1A,P12532,"Creatine kinase U-type, mitochondrial",P12532;P12532-2,,3,-0.54268939,0.126708602,-0.404305393,-0.561515512,0.241840184,-0.47104868,-0.092786277,0.012640181,-0.283843148,0.054501216,-0.401672911,-0.191343118,-0.11996496,-0.370750639,0.149259365
CKS1B,P61024,Cyclin-dependent kinases regulatory subunit 1,P61024,,3,0.034919984,0.189539944,-0.398151379,-0.759697884,-0.455514614,0.03562391,0.153027043,-0.16446393,-0.66746964,-0.332116955,-0.635158663,-0.315450531,-1.180397209,-1.234736845,-1.579663128
CKS2,P33552,Cyclin-dependent kinases regulatory subunit 2,P33552,,1,-0.24814213,0.174789893,-0.492951315,-0.476217266,0.08719125,,,,,,,,,,
CLASP1,Q7Z460-4,CLIP-associating protein 1,Q7Z460-4;Q7Z460-3;Q7Z460-2;Q7Z460-5,,3,1.335311741,1.634779111,0.207643013,-0.811649719,-1.116598146,1.628540319,1.620211026,0.147567207,-0.97687242,-1.301052578,1.369326884,1.284869433,-0.030869776,-1.004479301,-1.628786868
CLASP2,O75122-3,CLIP-associating protein 2,O75122-3,,3,1.181929438,1.302465287,0.260989139,-0.764076918,-1.224216178,1.616404751,1.751635103,0.399553938,-0.974007368,-1.323624258,0.875072301,0.801241448,0.163112244,-0.825823715,-1.57093578
CLCC1,Q96S66,Chloride channel CLIC-like protein 1,Q96S66;Q96S66-2;Q96S66-3;Q96S66-4,,3,0.346871814,-0.726663153,-0.765866604,0.987539164,3.358818205,0.487795024,-0.622509722,-0.461759842,1.165558254,3.244643546,0.674189443,-0.486751829,-0.734251074,1.000360629,-0.217071488
CLCN3,P51790,H(+)/Cl(-) exchange transporter 3,P51790;P51790-4;P51790-5;P51790-2,Endosome,2,1.698707445,-0.401234631,-0.952042893,-0.39272414,0.039980598,1.09241043,-0.104852516,-0.807553306,0.166843964,0.415326009,,,,,
CLCN7,P51798,H(+)/Cl(-) exchange transporter 7,P51798;P51798-2,Lysosome,3,0.944108799,-0.613189054,-0.883209418,0.533563348,1.483673919,1.060739158,-0.739950249,-0.790933484,0.622742976,1.485066108,1.130008304,-0.576475612,-0.724349249,0.6098495,1.925011974
CLIC1,O00299,Chloride intracellular channel protein 1,O00299,,3,-0.692198462,-0.71224404,-0.995074401,-0.505553667,0.449957484,-0.750129953,-0.751805233,-1.012810129,-0.62735987,0.423309237,-0.464265523,-0.576540154,-0.761677812,-0.675534994,0.693319679
CLIC4,Q9Y696,Chloride intracellular channel protein 4,Q9Y696,,3,-0.378044266,-0.665935211,-0.73413108,0.655901322,3.039331442,-0.109965843,-0.375964631,-0.216518201,1.034356597,3.06715682,-0.332571064,-0.774626343,-0.680497671,0.504467853,2.798112743
CLINT1,Q14677-3,Clathrin interactor 1,Q14677-3;Q14677-2,,3,-0.116332268,0.573083631,-0.290268241,-0.902254378,-0.873053567,0.331017236,1.067914014,-0.098598226,-1.00132789,-0.916289647,0.817786958,1.007913082,0.041383179,-0.906412782,-0.745889758
CLIP1,P30622-2,CAP-Gly domain-containing linker protein 1,P30622-2;P30622;P30622-1,,1,-0.351865932,0.111298453,-0.186721595,-0.706394089,-0.206794946,,,,,,,,,,
CLMP,Q9H6B4,CXADR-like membrane protein,Q9H6B4,Plasma membrane,3,-0.362287751,-0.479894613,-0.45436764,0.627420069,1.58990727,-0.234278564,-0.198692321,-0.054467205,1.049351959,2.308768589,-0.330229395,-0.434753793,-0.404400863,0.325271271,2.362049012
CLPB,Q9H078-2,Caseinolytic peptidase B protein homolog,Q9H078-2;Q9H078;Q9H078-3;Q9H078-5;Q9H078-4,,3,-1.273831442,-0.588378516,2.611007086,3.050344969,2.946356572,-1.17563131,-0.571192975,3.035958154,3.176705738,2.959028219,-0.83069068,-0.216250017,3.141318339,3.399171094,3.327687364
CLPP,Q16740,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Q16740,Mitochondrion,3,-1.270660414,-0.850636566,2.722334864,4.106934526,4.948600847,-1.216652311,-0.773392828,3.356425559,4.09895848,3.963011648,-0.886326168,-0.389224357,3.418999465,4.041242982,2.221041839
CLPTM1,O96005,Cleft lip and palate transmembrane protein 1,O96005;O96005-4;O96005-3,,3,0.222804561,-0.796360306,-0.869227242,0.752919821,2.875740752,0.352193538,-0.678418193,-0.570035956,1.008415176,2.939283005,0.291957116,-0.853996549,-0.992058223,0.709114148,3.032559329
CLPTM1L,Q96KA5,Cleft lip and palate transmembrane protein 1-like protein,Q96KA5;Q96KA5-2,,3,0.242328116,-0.705311621,-0.870334513,1.002018361,3.47118746,0.333080194,-0.673370617,-0.426800004,1.330099418,3.432692217,0.583711623,-0.692128533,-0.602569395,1.122407676,3.378095401
CLPX,O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",O76031,Mitochondrion,3,-1.211163973,-0.736989639,2.720212787,4.499463243,4.296824459,-1.119604414,-0.721896272,3.156962839,3.825073261,3.019968726,-1.05574124,-0.646812233,3.097307394,4.676493094,4.015872182
CLTA,P09496-2,Clathrin light chain A,P09496-2;P09496;P09496-4;P09496-3;P09496-5,Large Protein Complex,3,-0.41159837,-0.240537333,-0.626312816,-0.447642604,0.232046713,-0.287096125,-0.133717094,-0.332098794,-0.353081624,0.147306699,-0.145302133,-0.193007858,-0.415268349,-0.370601411,0.317767139
CLTB,P09497-2,Clathrin light chain B,P09497-2;P09497,Large Protein Complex,3,-0.488450998,-0.350485706,-1.065611828,-0.458861867,1.712507741,-0.235619872,-0.39775218,-0.282368538,-0.317714371,0.331361267,-0.214775896,-0.208077601,-0.44155602,-0.403007628,-0.001400093
CLTC,Q00610,Clathrin heavy chain 1,Q00610;Q00610-2,,3,-0.385469179,-0.240656649,-0.60906823,-0.354316784,0.278222698,-0.218128352,-0.060412323,-0.338414559,-0.311900229,0.314870509,-0.082285653,-0.17633215,-0.399273529,-0.348757685,0.29419431
CLTCL1,P53675,Clathrin heavy chain 2,P53675;P53675-2,,3,-0.126139565,0.21685836,-1.061902439,-0.594486804,-0.119698461,1.708805244,0.359633613,-0.365295223,-0.46923006,-0.294137076,0.247684513,0.007769594,-0.498137981,-0.402549872,-0.30771565
CLU,P10909,Clusterin,P10909;P10909-4;P10909-5;P10909-2;P10909-3,,3,-0.060111477,-0.629188466,-0.634217892,0.709996369,1.39758394,-0.043259345,-0.736677084,-0.366894334,0.746398767,1.807849476,0.316609184,-0.658446842,-0.474793055,0.934176782,1.851998837
CLUH,O75153,Clustered mitochondria protein homolog,O75153,,3,0.037171338,0.367594722,-0.361805654,-1.048412205,-0.828152686,0.049909522,0.431783399,-0.58909452,-1.218464026,-0.999480723,-0.117740416,0.013783815,-0.969678048,-1.686823817,-1.50885496
CMBL,Q96DG6,Carboxymethylenebutenolidase homolog,Q96DG6,,3,-1.408626961,-1.015753365,-1.739709322,-1.333007144,-0.977156398,-1.374972708,-1.221724127,-1.60094925,-1.689148046,-0.918414944,-1.184227853,-0.773960114,-1.135015579,-1.665706332,-0.503282012
CMPK1,P30085,UMP-CMP kinase,P30085;P30085-2,,3,-1.105845787,-1.128377109,-0.764910195,-0.597343302,0.100304906,-1.31944159,-0.814057358,-0.962716187,-0.782943038,-0.091540605,-1.216484675,-0.667217607,-0.629188466,-1.00453719,0.236951759
CMSS1,Q9BQ75,Protein CMSS1,Q9BQ75;Q9BQ75-2,,3,0.97217797,0.881429697,-0.464862755,-1.263888734,-1.366540889,1.884285319,1.395501575,-0.04211511,-1.053673376,-1.30693016,1.607247449,1.095789425,-0.078015336,-1.106529057,-1.486691182
CNBP,P62633,Cellular nucleic acid-binding protein,P62633;P62633-2;P62633-7;P62633-3;P62633-5;P62633-6,,3,1.361263047,1.210139457,-0.347692491,-1.136664119,-0.716552292,1.277806259,1.01948843,-0.415403028,-1.207760995,-0.846947007,1.14737183,0.708143082,-0.594181863,-1.553892018,-1.298566275
CNIH4,Q9P003,Protein cornichon homolog 4,Q9P003,,3,0.536550296,-0.147026374,-0.514490735,-0.318613706,0.109159939,0.761200156,-0.054452223,-0.219471518,-0.127494283,0.038997979,0.927365535,0.056722242,-0.285917173,-0.146291723,0.149519521
CNN2,Q99439,Calponin-2,Q99439;Q99439-2,,3,-1.220278019,-0.723610535,-0.221640012,0.058801354,0.910118618,-1.166146486,-0.533680897,0.002018361,0.422233001,0.662114331,-0.815986367,-0.596994114,0.064882852,0.558365607,0.874678949
CNNM3,Q8NE01,Metal transporter CNNM3,Q8NE01;Q8NE01-2;Q8NE01-3,Plasma membrane,1,,,,,,,,,,,-0.105240431,-0.411732707,-0.213671293,1.078746447,2.806035283
CNOT1,A5YKK6,CCR4-NOT transcription complex subunit 1,A5YKK6;A5YKK6-4,Large Protein Complex,3,1.80252412,1.282143229,-0.236758414,-1.125698769,-0.910013802,1.848197267,1.237196574,-0.314678763,-1.288804676,-1.141270987,1.615792931,0.880724702,-0.627315299,-1.60410364,-1.477622795
CNOT10,Q9H9A5,CCR4-NOT transcription complex subunit 10,Q9H9A5;Q9H9A5-2;Q9H9A5-6;Q9H9A5-3;Q9H9A5-4;Q9H9A5-5,Large Protein Complex,3,1.784964567,1.324465006,-0.20079662,-1.175468373,-0.944082485,1.006980158,1.166201253,-0.305021774,-1.356014551,-1.114316315,1.65777718,1.141171172,-0.539205023,-1.570335835,-1.359305042
CNOT11,Q9UKZ1,CCR4-NOT transcription complex subunit 11,Q9UKZ1,Large Protein Complex,3,1.603596675,1.153221656,-0.320666289,-1.306608947,-0.979600922,1.522658421,1.194591403,-0.152307695,-1.161072429,-0.788539176,1.649339539,0.824727127,-0.331644834,-1.340185018,-1.338943644
CNOT2,Q9NZN8,CCR4-NOT transcription complex subunit 2,Q9NZN8;Q9NZN8-4;Q9NZN8-5;Q9NZN8-2,Large Protein Complex,3,2.080759979,1.200190444,-0.449532701,-1.274564208,-0.927660917,1.9202933,1.243242546,-0.312383847,-1.350964034,-1.130365444,1.999350641,0.801738102,-0.559579279,-1.475976455,-1.313046846
CNOT3,O75175,CCR4-NOT transcription complex subunit 3,O75175;O75175-2,Large Protein Complex,3,1.980464076,1.435575259,-0.270660414,-1.229754491,-0.918387677,1.974015284,1.365468586,-0.356753333,-1.407325304,-1.16647028,1.703322227,1.190109117,-0.613343538,-1.483823442,-1.36650369
